Scenario,Condition,Seed,Group,N_rows,N_success,MeanWait,MedianWait,P95Wait,Gini,TargetRequestedN,TargetSuccessN,TargetFailedN,TargetComplete10,SuccessRate
Festival,Poisson,1,Background,42,39,167.66666666666666,145.0,331.1,0.3270240489998863,10,10,0,1,0.9285714285714286
Festival,Poisson,2,Background,39,33,123.93939393939394,100.0,252.2,0.3285619026450322,10,10,0,1,0.8461538461538461
Festival,Poisson,3,Background,23,22,128.72727272727272,105.0,256.24999999999994,0.3653697996918336,10,10,0,1,0.9565217391304348
Festival,Poisson,4,Background,33,32,172.78125,140.0,409.0,0.3643685567010309,10,10,0,1,0.9696969696969697
Festival,Poisson,5,Background,38,36,189.80555555555557,150.0,447.75,0.3668674894710311,10,10,0,1,0.9473684210526315
Festival,Poisson,6,Background,45,43,130.72093023255815,115.0,235.0,0.3222632735216361,10,10,0,1,0.9555555555555556
Festival,Poisson,7,Background,44,41,141.7560975609756,130.0,340.0,0.3189783962533363,10,10,0,1,0.9318181818181818
Festival,Poisson,8,Background,30,29,104.3103448275862,105.0,173.0,0.2546594471359362,10,10,0,1,0.9666666666666667
Festival,Poisson,9,Background,41,40,153.225,120.0,401.44999999999993,0.35001223690651,10,10,0,1,0.975609756097561
Festival,Poisson,10,Background,35,35,144.74285714285713,125.0,342.4999999999998,0.3805312729118493,10,10,0,1,1.0
Festival,Poisson,11,Background,36,33,171.15151515151516,125.0,407.3999999999999,0.3455446819469482,10,10,0,1,0.9166666666666666
Festival,Poisson,12,Background,37,35,151.62857142857143,145.0,311.79999999999984,0.2906888476136638,10,10,0,1,0.9459459459459459
Festival,Poisson,13,Background,37,37,157.13513513513513,155.0,283.9999999999996,0.2989986890915684,10,10,0,1,1.0
Festival,Poisson,14,Background,36,36,116.22222222222224,103.0,245.75,0.3397068196303378,10,10,0,1,1.0
Festival,Poisson,15,Background,44,44,152.9090909090909,125.0,309.25,0.3357474867581883,10,10,0,1,1.0
