Scenario,Condition,Seed,TotalSuccessN,TargetSuccessN,TotalWaitSum,TargetWaitSum,TargetWaitBurdenShare,TargetSuccessShare,ExcessBurden
Festival,Poisson,1,49,10,7482.0,943.0,0.1260358192996525,0.20408163265306123,-0.07804581335340874
Festival,Poisson,2,43,10,4792.0,702.0,0.1464941569282137,0.23255813953488372,-0.08606398260667003
Festival,Poisson,3,32,10,4137.0,1305.0,0.3154459753444525,0.3125,0.0029459753444525116
Festival,Poisson,4,42,10,6203.0,674.0,0.10865710140254715,0.23809523809523808,-0.12943813669269094
Festival,Poisson,5,46,10,7581.0,748.0,0.09866772193642,0.21739130434782608,-0.11872358241140608
Festival,Poisson,6,53,10,6973.0,1352.0,0.1938907213537932,0.18867924528301888,0.0052114760707743235
Festival,Poisson,7,51,10,6783.0,971.0,0.14315199764116174,0.19607843137254902,-0.05292643373138728
Festival,Poisson,8,39,10,3900.0,875.0,0.22435897435897437,0.2564102564102564,-0.03205128205128202
Festival,Poisson,9,50,10,7607.0,1478.0,0.19429472853950308,0.2,-0.00570527146049693
Festival,Poisson,10,45,10,6263.0,1197.0,0.19112246527223375,0.2222222222222222,-0.031099756949988455
Festival,Poisson,11,43,10,6609.0,961.0,0.14540777727341503,0.23255813953488372,-0.08715036226146869
Festival,Poisson,12,45,10,6111.0,804.0,0.13156602847324497,0.2222222222222222,-0.09065619374897724
Festival,Poisson,13,47,10,8157.0,2343.0,0.2872379551305627,0.2127659574468085,0.0744719976837542
Festival,Poisson,14,46,10,4936.0,752.0,0.15235008103727715,0.21739130434782608,-0.06504122331054893
Festival,Poisson,15,54,10,7656.0,928.0,0.12121212121212122,0.18518518518518517,-0.06397306397306396
Festival,Poisson,16,50,10,7005.0,949.0,0.13547466095645966,0.2,-0.06452533904354035
Festival,Poisson,17,48,10,6869.0,1385.0,0.20163051390304265,0.20833333333333334,-0.006702819430290691
Festival,Poisson,18,56,10,9345.0,1401.0,0.14991974317817014,0.17857142857142858,-0.028651685393258436
Festival,Poisson,19,53,10,5885.0,864.0,0.14681393372982157,0.18867924528301888,-0.04186531155319731
Festival,Poisson,20,51,10,6498.0,1570.0,0.24161280393967374,0.19607843137254902,0.045534372567124726
Festival,Poisson,21,52,10,8067.0,1488.0,0.18445518780215694,0.19230769230769232,-0.007852504505535374
Festival,Poisson,22,59,10,12277.0,2891.0,0.2354809806956097,0.1694915254237288,0.06598945527188088
Festival,Poisson,23,48,10,7352.0,1644.0,0.2236126224156692,0.20833333333333334,0.015279289082335862
Festival,Poisson,24,45,10,5544.0,976.0,0.17604617604617603,0.2222222222222222,-0.046176046176046176
Festival,Poisson,25,50,10,6659.0,1371.0,0.20588676978525305,0.2,0.005886769785253043
Festival,Poisson,26,46,10,7466.0,1642.0,0.21993035092418967,0.21739130434782608,0.002539046576363585
Festival,Poisson,27,48,10,8204.0,2194.0,0.2674305216967333,0.20833333333333334,0.05909718836339997
Festival,Poisson,28,48,10,6436.0,1546.0,0.24021131137352392,0.20833333333333334,0.031877978040190574
Festival,Poisson,29,38,10,5655.0,583.0,0.10309460654288241,0.2631578947368421,-0.16006328819395968
Festival,Poisson,30,46,10,5738.0,1259.0,0.21941443011502265,0.21739130434782608,0.0020231257671965708
Festival,Poisson,31,50,10,7237.0,1568.0,0.21666436368661046,0.2,0.01666436368661045
Festival,Poisson,32,51,10,9566.0,2431.0,0.25412920761028646,0.19607843137254902,0.05805077623773744
Festival,Poisson,33,48,10,7536.0,1796.0,0.23832271762208068,0.20833333333333334,0.02998938428874734
Festival,Poisson,34,51,10,7262.0,1433.0,0.19732855962544754,0.19607843137254902,0.0012501282528985247
Festival,Poisson,35,42,10,5378.0,1434.0,0.26664187430271474,0.23809523809523808,0.02854663620747666
Festival,Poisson,36,56,10,7855.0,1411.0,0.17963080840229154,0.17857142857142858,0.001059379830862961
Festival,Poisson,37,50,10,6905.0,1207.0,0.17480086893555394,0.2,-0.025199131064446073
Festival,Poisson,38,47,10,5738.0,703.0,0.12251655629139073,0.2127659574468085,-0.09024940115541778
Festival,Poisson,39,62,10,12172.0,2549.0,0.20941505093657575,0.16129032258064516,0.048124728355930596
Festival,Poisson,40,39,10,6749.0,1614.0,0.23914654022818196,0.2564102564102564,-0.017263716182074423
Festival,Poisson,41,53,10,7101.0,969.0,0.13645965356991974,0.18867924528301888,-0.052219591713099145
Festival,Poisson,42,64,10,11411.0,2066.0,0.18105336955569187,0.15625,0.024803369555691873
Festival,Poisson,43,47,10,6970.0,775.0,0.11119081779053085,0.2127659574468085,-0.10157513965627767
Festival,Poisson,44,51,10,8259.0,2176.0,0.26347015377164307,0.19607843137254902,0.06739172239909405
Festival,Poisson,45,49,10,7166.0,643.0,0.08972927714205972,0.20408163265306123,-0.11435235551100151
Festival,Poisson,46,36,10,6019.0,2305.0,0.3829539790662901,0.2777777777777778,0.1051762012885123
Festival,Poisson,47,41,10,6202.0,1225.0,0.19751693002257337,0.24390243902439024,-0.04638550900181687
