Scenario,Condition,Seed,Group,N_rows,N_success,MeanWait,MedianWait,P95Wait,Gini,TargetRequestedN,TargetSuccessN,TargetFailedN,TargetComplete10
Festival,Poisson,1,Target,10,10,94.3,80.0,161.44999999999993,0.2346765641569459,10,10,0,1
Festival,Poisson,1,Background,42,39,167.66666666666666,145.0,331.1,0.3270240489998863,10,10,0,1
Festival,Poisson,1,Total,52,49,152.69387755102042,118.0,319.9999999999999,0.33831399440289345,10,10,0,1
Festival,Poisson,2,Target,10,10,70.2,71.0,115.74999999999993,0.22250712250712248,10,10,0,1
Festival,Poisson,2,Background,39,33,123.93939393939394,100.0,252.2,0.32856190264503227,10,10,0,1
Festival,Poisson,2,Total,49,43,111.44186046511628,80.0,244.5,0.3377140194898474,10,10,0,1
Festival,Poisson,3,Target,10,10,130.5,109.0,242.29999999999998,0.305823754789272,10,10,0,1
Festival,Poisson,3,Background,23,22,128.72727272727272,105.0,256.24999999999994,0.3653697996918336,10,10,0,1
Festival,Poisson,3,Total,33,32,129.28125,105.0,251.75,0.3510167391829828,10,10,0,1
Festival,Poisson,4,Target,10,10,67.4,64.0,115.79999999999994,0.21661721068249257,10,10,0,1
Festival,Poisson,4,Background,33,32,172.78125,140.0,409.0,0.3643685567010309,10,10,0,1
Festival,Poisson,4,Total,43,42,147.6904761904762,110.0,389.4499999999999,0.39503542832577165,10,10,0,1
Festival,Poisson,5,Target,10,10,74.8,67.5,132.99999999999994,0.2451871657754011,10,10,0,1
Festival,Poisson,5,Background,38,36,189.80555555555554,150.0,447.75,0.36686748947103115,10,10,0,1
Festival,Poisson,5,Total,48,46,164.80434782608697,117.5,418.75,0.39762736360351675,10,10,0,1
Festival,Poisson,6,Target,10,10,135.2,122.5,236.44999999999996,0.27573964497041425,10,10,0,1
Festival,Poisson,6,Background,45,43,130.72093023255815,115.0,235.0,0.3222632735216361,10,10,0,1
Festival,Poisson,6,Total,55,53,131.56603773584905,115.0,242.59999999999997,0.3142633716572548,10,10,0,1
Festival,Poisson,7,Target,10,10,97.1,71.0,227.2,0.3617919670442843,10,10,0,1
Festival,Poisson,7,Background,44,41,141.7560975609756,130.0,340.0,0.3189783962533363,10,10,0,1
Festival,Poisson,7,Total,54,51,133.0,115.0,284.5,0.339857718113045,10,10,0,1
Festival,Poisson,8,Target,10,10,87.5,82.0,154.4999999999999,0.2202285714285714,10,10,0,1
Festival,Poisson,8,Background,30,29,104.3103448275862,105.0,173.0,0.2546594471359362,10,10,0,1
Festival,Poisson,8,Total,40,39,100.0,90.0,177.00000000000003,0.25681788297172914,10,10,0,1
Festival,Poisson,9,Target,10,10,147.8,117.5,331.79999999999984,0.35060893098782137,10,10,0,1
Festival,Poisson,9,Background,41,40,153.225,120.0,401.44999999999993,0.35001223690651007,10,10,0,1
Festival,Poisson,9,Total,51,50,152.14,120.0,406.04999999999995,0.3508268699881688,10,10,0,1
Festival,Poisson,10,Target,10,10,119.7,63.5,314.3499999999999,0.37936507936507935,10,10,0,1
Festival,Poisson,10,Background,35,35,144.74285714285713,125.0,342.4999999999998,0.38053127291184935,10,10,0,1
Festival,Poisson,10,Total,45,45,139.17777777777778,105.0,350.39999999999986,0.3899231820036546,10,10,0,1
Festival,Poisson,11,Target,10,10,96.1,77.5,206.79999999999993,0.30707596253902186,10,10,0,1
Festival,Poisson,11,Background,36,33,171.15151515151516,125.0,407.39999999999986,0.3455446819469482,10,10,0,1
