Scenario,Condition,Seed,VehicleRecords,MaxOccupancy,MeanOccupancy,LastTimestamp
Festival,Poisson,1,1228,8.0,2.5464169381107493,3598.0
Festival,Poisson,2,1027,6.0,1.9698149951314508,3599.0
Festival,Poisson,3,734,5.0,1.6553133514986376,3597.0
Festival,Poisson,4,821,8.0,2.297198538367844,3593.0
Festival,Poisson,5,1148,9.0,2.211672473867596,3595.0
Festival,Poisson,6,1223,8.0,2.7187244480784956,3597.0
Festival,Poisson,7,1274,8.0,2.0306122448979593,3594.0
Festival,Poisson,8,894,6.0,1.9530201342281879,3593.0
Festival,Poisson,9,1269,9.0,2.4113475177304964,3596.0
Festival,Poisson,10,1023,8.0,2.4868035190615836,3595.0
Festival,Poisson,11,1003,8.0,1.7228315054835492,3599.0
Festival,Poisson,12,978,8.0,1.8967280163599183,3596.0
Festival,Poisson,13,1181,7.0,1.9754445385266723,3597.0
Festival,Poisson,14,998,8.0,2.5741482965931866,3597.0
Festival,Poisson,15,1209,8.0,2.2241521918941274,3598.0
Festival,Poisson,16,1243,8.0,2.1834271922767496,3596.0
Festival,Poisson,17,1160,7.0,2.05948275862069,3599.0
Festival,Poisson,18,1287,8.0,2.2556332556332555,3599.0
Festival,Poisson,19,1200,9.0,2.2675,3596.0
Festival,Poisson,20,1097,6.0,1.828623518687329,3599.0
Festival,Poisson,21,1280,8.0,2.27421875,3595.0
Festival,Poisson,22,1536,8.0,2.3268229166666665,3596.0
Festival,Poisson,23,1186,8.0,1.966273187183811,3597.0
Festival,Poisson,24,1037,7.0,1.814850530376085,3590.0
Festival,Poisson,25,1107,8.0,2.5519421860885276,3513.0
Festival,Poisson,26,1107,8.0,2.4101174345076783,3597.0
Festival,Poisson,27,1087,8.0,2.347746090156394,3459.0
Festival,Poisson,28,1138,8.0,1.7917398945518452,3596.0
Festival,Poisson,29,792,8.0,1.755050505050505,3597.0
Festival,Poisson,30,1074,6.0,2.021415270018622,3598.0
Festival,Poisson,31,1163,6.0,2.0859845227858984,3599.0
Festival,Poisson,32,1322,9.0,2.4848714069591527,3595.0
Festival,Poisson,33,1135,7.0,2.239647577092511,3595.0
Festival,Poisson,34,1268,8.0,2.3146687697160884,3599.0
Festival,Poisson,35,958,6.0,1.951983298538622,3599.0
Festival,Poisson,36,1238,9.0,2.4434571890145396,3593.0
Festival,Poisson,37,1100,8.0,2.0654545454545454,3598.0
Festival,Poisson,38,991,9.0,2.8435923309788094,3599.0
Festival,Poisson,39,1494,8.0,2.2958500669344044,3598.0
Festival,Poisson,40,1071,7.0,1.9869281045751634,3599.0
Festival,Poisson,41,1239,9.0,2.3535108958837774,3596.0
Festival,Poisson,42,1453,9.0,2.4796971782518926,3598.0
Festival,Poisson,43,1167,9.0,2.0865467009425878,3595.0
Festival,Poisson,44,1298,8.0,2.1186440677966103,3598.0
Festival,Poisson,45,1061,8.0,2.0273327049952874,3599.0
Festival,Poisson,46,857,8.0,1.910151691948658,3599.0
Festival,Poisson,47,784,9.0,2.4808673469387754,3594.0
Festival,Poisson,48,1201,9.0,2.6402997502081598,3599.0
Festival,Poisson,49,1125,8.0,2.119111111111111,3592.0
Festival,Poisson,50,982,8.0,2.6710794297352343,3591.0
Festival,Poisson,51,799,6.0,1.8798498122653318,3598.0
Festival,Poisson,52,1086,8.0,2.059852670349908,3598.0
Festival,Poisson,53,1082,7.0,2.1404805914972274,3599.0
Festival,Poisson,54,785,8.0,2.0089171974522295,3592.0
Festival,Poisson,55,1075,8.0,2.2306976744186047,3598.0
Festival,Poisson,56,922,7.0,1.7516268980477223,3595.0
Festival,Poisson,57,1235,8.0,1.8607287449392713,3596.0
Festival,Poisson,58,1065,9.0,2.744600938967136,3599.0
Festival,Poisson,59,815,9.0,2.3901840490797546,3595.0
Festival,Poisson,60,1158,7.0,2.224525043177893,3596.0
Festival,Poisson,61,1144,7.0,2.2517482517482517,3598.0
Festival,Poisson,62,1074,9.0,2.3277467411545625,3593.0
Festival,Poisson,63,1245,8.0,2.185542168674699,3597.0
Festival,Poisson,64,1030,9.0,2.341747572815534,3599.0
Festival,Poisson,65,1211,7.0,1.9454995871180842,3596.0
Festival,Poisson,66,1229,8.0,2.0081366965012206,3591.0
Festival,Poisson,67,1117,6.0,2.080572963294539,3593.0
Festival,Poisson,68,1079,6.0,2.0861909175162188,3598.0
Festival,Poisson,69,1258,9.0,2.350556438791733,3598.0
Festival,Poisson,70,1071,8.0,2.23062558356676,3593.0
Festival,Poisson,71,1025,7.0,1.7892682926829269,3599.0
Festival,Poisson,72,1228,6.0,1.8656351791530945,3594.0
Festival,Poisson,73,1069,8.0,2.694106641721235,3595.0
Festival,Poisson,74,1232,8.0,2.4001623376623376,3598.0
Festival,Poisson,75,796,6.0,1.8454773869346734,3595.0
Festival,Poisson,76,833,7.0,2.3625450180072027,3599.0
Festival,Poisson,77,1118,7.0,1.9695885509838997,3591.0
Festival,Poisson,78,1041,7.0,1.9068203650336215,3595.0
Festival,Poisson,79,1209,8.0,1.9743589743589745,3598.0
Festival,Poisson,80,1019,8.0,2.017664376840039,3597.0
Festival,Poisson,81,1170,8.0,1.988888888888889,3599.0
Festival,Poisson,82,990,8.0,2.392929292929293,3595.0
Festival,Poisson,83,1255,8.0,2.256573705179283,3594.0
Festival,Poisson,84,1502,9.0,2.114513981358189,3598.0
Festival,Poisson,85,1214,9.0,2.518121911037891,3598.0
Festival,Poisson,86,1246,7.0,2.331460674157303,3599.0
Festival,Poisson,87,1159,7.0,2.1311475409836067,3593.0
Festival,Poisson,88,1023,7.0,2.0117302052785924,3599.0
Festival,Poisson,89,1253,7.0,1.794094173982442,3599.0
Festival,Poisson,90,1143,8.0,2.3972003499562553,3599.0
Festival,Poisson,91,1312,7.0,2.330030487804878,3599.0
Festival,Poisson,92,1243,7.0,2.416733708769107,3599.0
Festival,Poisson,93,1292,9.0,2.3560371517027865,3596.0
Festival,Poisson,94,1159,6.0,1.7903364969801554,3598.0
Festival,Poisson,95,1036,9.0,2.2393822393822393,3598.0
Festival,Poisson,96,993,8.0,2.2527693856998994,3598.0
Festival,Poisson,97,1135,7.0,1.7841409691629957,3599.0
Festival,Poisson,98,1011,8.0,2.2759643916913945,3598.0
Festival,Poisson,99,1047,7.0,2.3486150907354344,3590.0
Festival,Poisson,100,1300,8.0,2.226923076923077,3598.0
Festival,Synchronized,1,1304,9.0,2.4317484662576687,3593.0
Festival,Synchronized,2,1097,8.0,1.9589790337283501,3599.0
Festival,Synchronized,3,634,7.0,1.9305993690851735,3597.0
Festival,Synchronized,4,790,7.0,2.329113924050633,3593.0
Festival,Synchronized,5,1139,6.0,1.794556628621598,3595.0
Festival,Synchronized,6,1209,9.0,2.62944582299421,3597.0
Festival,Synchronized,7,1167,9.0,2.335904027420737,3594.0
Festival,Synchronized,8,860,6.0,1.8651162790697675,3593.0
Festival,Synchronized,9,1150,9.0,2.4078260869565216,3596.0
Festival,Synchronized,10,1034,8.0,2.288201160541586,3599.0
Festival,Synchronized,11,981,9.0,1.8756371049949032,3592.0
Festival,Synchronized,12,1053,8.0,1.9278252611585944,3599.0
Festival,Synchronized,13,1106,7.0,2.0587703435804703,3597.0
Festival,Synchronized,14,920,7.0,2.1858695652173914,3595.0
Festival,Synchronized,15,1182,8.0,2.436548223350254,3598.0
Festival,Synchronized,16,1233,8.0,2.121654501216545,3598.0
Festival,Synchronized,17,1161,8.0,2.404823428079242,3599.0
Festival,Synchronized,18,1254,7.0,2.2655502392344498,3596.0
Festival,Synchronized,19,1134,6.0,1.8756613756613756,3597.0
Festival,Synchronized,20,1117,8.0,1.9230080572963295,3598.0
Festival,Synchronized,21,1274,9.0,2.160910518053375,3595.0
Festival,Synchronized,22,1461,7.0,2.518822724161533,3596.0
Festival,Synchronized,23,1172,7.0,1.9146757679180888,3597.0
Festival,Synchronized,24,1126,5.0,1.6793960923623446,3599.0
Festival,Synchronized,25,1161,9.0,2.483204134366925,3523.0
Festival,Synchronized,26,1284,9.0,2.4688473520249223,3597.0
Festival,Synchronized,27,1156,9.0,2.375432525951557,3459.0
Festival,Synchronized,28,1027,9.0,2.059396299902629,3596.0
Festival,Synchronized,29,926,9.0,2.251619870410367,3598.0
Festival,Synchronized,30,1064,9.0,2.3016917293233083,3598.0
Festival,Synchronized,31,1173,9.0,2.393009377664109,3599.0
Festival,Synchronized,32,1300,9.0,2.4946153846153845,3592.0
Festival,Synchronized,33,1087,8.0,2.238270469181233,3597.0
Festival,Synchronized,34,1304,9.0,2.3627300613496933,3597.0
Festival,Synchronized,35,915,8.0,1.9934426229508198,3599.0
Festival,Synchronized,36,1292,9.0,2.3691950464396285,3598.0
Festival,Synchronized,37,1052,9.0,2.192015209125475,3598.0
Festival,Synchronized,38,1189,9.0,2.105130361648444,3597.0
Festival,Synchronized,39,1446,8.0,2.172199170124481,3596.0
Festival,Synchronized,40,1094,7.0,1.8893967093235833,3598.0
Festival,Synchronized,41,1260,9.0,2.2936507936507935,3596.0
Festival,Synchronized,42,1392,8.0,2.1594827586206895,3599.0
Festival,Synchronized,43,1080,9.0,2.1444444444444444,3595.0
Festival,Synchronized,44,1131,8.0,2.055702917771883,3597.0
Festival,Synchronized,45,1055,9.0,2.1819905213270143,3596.0
Festival,Synchronized,46,775,8.0,2.247741935483871,3599.0
Festival,Synchronized,47,947,9.0,2.078141499472017,3599.0
Festival,Synchronized,48,1290,7.0,1.9697674418604652,3599.0
Festival,Synchronized,49,1098,8.0,2.1593806921675776,3592.0
Festival,Synchronized,50,957,7.0,2.2998955067920583,3591.0
Festival,Synchronized,51,845,9.0,1.860355029585799,3598.0
Festival,Synchronized,52,1114,8.0,1.9820466786355475,3599.0
Festival,Synchronized,53,1022,6.0,1.9833659491193738,3599.0
Festival,Synchronized,54,753,8.0,1.956175298804781,3595.0
Festival,Synchronized,55,1118,8.0,2.118067978533095,3593.0
Festival,Synchronized,56,867,9.0,1.8154555940023067,3592.0
Festival,Synchronized,57,1211,8.0,1.9149463253509496,3596.0
Festival,Synchronized,58,1173,9.0,2.720375106564365,3599.0
Festival,Synchronized,59,794,9.0,2.234256926952141,3595.0
Festival,Synchronized,60,1321,7.0,2.1725965177895534,3596.0
Festival,Synchronized,61,1196,9.0,2.3729096989966556,3597.0
Festival,Synchronized,62,1062,9.0,2.35969868173258,3597.0
Festival,Synchronized,63,1146,9.0,2.1858638743455496,3599.0
