Scenario,Condition,Seed,Group,N_rows,N_success,MeanWait,MedianWait,P95Wait,Gini,TargetRequestedN,TargetSuccessN,TargetFailedN,TargetComplete10,SuccessRate
Festival,Poisson,1,Total,52,49,152.69387755102042,118.0,319.9999999999999,0.3383139944028934,10,10,0,1,0.9423076923076923
Festival,Poisson,2,Total,49,43,111.44186046511628,80.0,244.5,0.3377140194898474,10,10,0,1,0.8775510204081632
Festival,Poisson,3,Total,33,32,129.28125,105.0,251.75,0.3510167391829828,10,10,0,1,0.9696969696969697
Festival,Poisson,4,Total,43,42,147.6904761904762,110.0,389.4499999999999,0.3950354283257716,10,10,0,1,0.9767441860465116
Festival,Poisson,5,Total,48,46,164.80434782608697,117.5,418.75,0.3976273636035167,10,10,0,1,0.9583333333333334
Festival,Poisson,6,Total,55,53,131.56603773584905,115.0,242.6,0.3142633716572548,10,10,0,1,0.9636363636363636
Festival,Poisson,7,Total,54,51,133.0,115.0,284.5,0.339857718113045,10,10,0,1,0.9444444444444444
Festival,Poisson,8,Total,40,39,100.0,90.0,177.00000000000003,0.2568178829717291,10,10,0,1,0.975
Festival,Poisson,9,Total,51,50,152.14,120.0,406.05,0.3508268699881688,10,10,0,1,0.9803921568627451
Festival,Poisson,10,Total,45,45,139.17777777777778,105.0,350.39999999999986,0.3899231820036546,10,10,0,1,1.0
Festival,Poisson,11,Total,46,43,153.69767441860466,115.0,373.0,0.3618603243638871,10,10,0,1,0.9347826086956522
Festival,Poisson,12,Total,47,45,135.8,110.0,288.9999999999999,0.324369533991527,10,10,0,1,0.9574468085106383
Festival,Poisson,13,Total,47,47,173.5531914893617,155.0,419.8,0.3607292000865983,10,10,0,1,1.0
Festival,Poisson,14,Total,46,46,107.30434782608695,92.5,242.5,0.35127017123529,10,10,0,1,1.0
Festival,Poisson,15,Total,54,54,141.77777777777777,114.0,306.75,0.3446485932118116,10,10,0,1,1.0
Festival,Poisson,16,Total,53,50,140.1,127.5,292.3499999999998,0.3202769450392577,10,10,0,1,0.9433962264150944
Festival,Poisson,17,Total,50,48,143.10416666666666,115.0,363.5999999999999,0.3993333575969331,10,10,0,1,0.96
Festival,Poisson,18,Total,56,56,166.875,135.0,422.0,0.3476362455094397,10,10,0,1,1.0
Festival,Poisson,19,Total,54,53,111.0377358490566,105.0,220.99999999999997,0.275301774578798,10,10,0,1,0.9814814814814815
Festival,Poisson,20,Total,54,51,127.41176470588236,115.0,309.5,0.2865436725629002,10,10,0,1,0.9444444444444444
Festival,Poisson,21,Total,53,52,155.1346153846154,145.0,323.4999999999999,0.2961996166719112,10,10,0,1,0.9811320754716981
Festival,Poisson,22,Total,63,59,208.08474576271183,170.0,476.79999999999984,0.3577007025677062,10,10,0,1,0.9365079365079365
Festival,Poisson,23,Total,50,48,153.16666666666666,127.5,313.25,0.330658324265506,10,10,0,1,0.96
Festival,Poisson,24,Total,47,45,123.2,105.0,270.6,0.3280102613435947,10,10,0,1,0.9574468085106383
Festival,Poisson,25,Total,52,50,133.18,120.0,234.55,0.3145847724883616,10,10,0,1,0.9615384615384616
Festival,Poisson,26,Total,53,46,162.30434782608697,145.0,375.0,0.2883040799450261,10,10,0,1,0.8679245283018868
Festival,Poisson,27,Total,48,48,170.91666666666666,142.5,421.8499999999999,0.3347300097513408,10,10,0,1,1.0
Festival,Poisson,28,Total,49,48,134.08333333333334,105.0,268.6,0.3891586389061529,10,10,0,1,0.9795918367346939
Festival,Poisson,29,Total,45,38,148.81578947368422,105.0,326.24999999999994,0.3813160221508678,10,10,0,1,0.8444444444444444
Festival,Poisson,30,Total,48,46,124.7391304347826,117.5,227.5,0.2660524042614454,10,10,0,1,0.9583333333333334
Festival,Poisson,31,Total,56,50,144.74,125.0,307.75,0.3267845792455437,10,10,0,1,0.8928571428571429
Festival,Poisson,32,Total,54,51,187.5686274509804,160.0,409.5,0.305415831396326,10,10,0,1,0.9444444444444444
Festival,Poisson,33,Total,54,48,157.0,137.5,336.35,0.3255208333333333,10,10,0,1,0.8888888888888888
Festival,Poisson,34,Total,57,51,142.3921568627451,145.0,267.5,0.2829771952846134,10,10,0,1,0.8947368421052632
Festival,Poisson,35,Total,44,42,128.04761904761904,120.0,204.49999999999997,0.2452496059785015,10,10,0,1,0.9545454545454546
Festival,Poisson,36,Total,58,56,140.26785714285714,118.5,288.0,0.3210080021824134,10,10,0,1,0.9655172413793104
Festival,Poisson,37,Total,58,50,138.1,115.0,304.89999999999986,0.3804981897175959,10,10,0,1,0.8620689655172413
Festival,Poisson,38,Total,55,47,122.08510638297872,95.0,293.1999999999999,0.3866274111373968,10,10,0,1,0.8545454545454545
