scenario_info,currenttime,shuttle_id,shuttle_state,cur_dst,cur_node,cur_path,cur_psgr,cur_psgr_num
2026-03-02 21:26:04_100_0.3_26,10.0,SHUTTLE0003,MOVE,[],0201,"['0201', '0262', '0231', '0142', '0323', '0466', '0259', '0335', '0454', '0035', 'dynamic_1', '0035', '0454', '0335', '0077', '0415', '0391', '0447', '0082', '0271', '0285', '0014', '0299', '0358', '0249', '0133', '0392', '0053', '0080', '0237', '0019']",[],0
2026-03-02 21:26:04_100_0.3_26,20.0,SHUTTLE0003,MOVE,[],0262,"['0262', '0231', '0142', '0323', '0466', '0259', '0335', '0454', '0035', 'dynamic_1', '0035', '0454', '0335', '0077', '0415', '0391', '0447', '0082', '0271', '0285', '0014', '0299', '0358', '0249', '0133', '0392', '0053', '0080', '0237', '0019']",[],0
2026-03-02 21:26:04_100_0.3_26,30.0,SHUTTLE0002,MOVE,"[('0261', 'DROPPING', 2, False, -3)]",0155,"['0155', '0333', '0166', '0053', '0080', '0237', '0019', '0196', '0158', '0173', '0160', '0007', '0140', 'dynamic_2', '0140', '0007', '0160', '0173', '0158', '0196', '0019', '0237', '0080', '0364', '0350', '0123', '0061', '0474', '0320', '0224', '0426', '0321', '0440', '0102', '0168', '0334', '0387', '0439', '0455', '0250', '0476', '0088', '0261']",[],0
2026-03-02 21:26:04_100_0.3_26,30.0,SHUTTLE0003,MOVE,[],0231,"['0231', '0142', '0323', '0466', '0259', '0335', '0454', '0035', 'dynamic_1', '0035', '0454', '0335', '0077', '0415', '0391', '0447', '0082', '0271', '0285', '0014', '0299', '0358', '0249', '0133', '0392', '0053', '0080', '0237', '0019']",[],0
2026-03-02 21:26:04_100_0.3_26,40.0,SHUTTLE0002,MOVE,"[('0261', 'DROPPING', 2, False, -3)]",0333,"['0333', '0166', '0053', '0080', '0237', '0019', '0196', '0158', '0173', '0160', '0007', '0140', 'dynamic_2', '0140', '0007', '0160', '0173', '0158', '0196', '0019', '0237', '0080', '0364', '0350', '0123', '0061', '0474', '0320', '0224', '0426', '0321', '0440', '0102', '0168', '0334', '0387', '0439', '0455', '0250', '0476', '0088', '0261']",[],0
2026-03-02 21:26:04_100_0.3_26,40.0,SHUTTLE0003,MOVE,[],0142,"['0142', '0323', '0466', '0259', '0335', '0454', '0035', 'dynamic_1', '0035', '0454', '0335', '0077', '0415', '0391', '0447', '0082', '0271', '0285', '0014', '0299', '0358', '0249', '0133', '0392', '0053', '0080', '0237', '0019']",[],0
2026-03-02 21:26:04_100_0.3_26,50.0,SHUTTLE0002,MOVE,"[('0261', 'DROPPING', 2, False, -3)]",0166,"['0166', '0053', '0080', '0237', '0019', '0196', '0158', '0173', '0160', '0007', '0140', 'dynamic_2', '0140', '0007', '0160', '0173', '0158', '0196', '0019', '0237', '0080', '0364', '0350', '0123', '0061', '0474', '0320', '0224', '0426', '0321', '0440', '0102', '0168', '0334', '0387', '0439', '0455', '0250', '0476', '0088', '0261']",[],0
2026-03-02 21:26:04_100_0.3_26,50.0,SHUTTLE0003,MOVE,[],0323,"['0323', '0466', '0259', '0335', '0454', '0035', 'dynamic_1', '0035', '0454', '0335', '0077', '0415', '0391', '0447', '0082', '0271', '0285', '0014', '0299', '0358', '0249', '0133', '0392', '0053', '0080', '0237', '0019']",[],0
2026-03-02 21:26:04_100_0.3_26,60.0,SHUTTLE0002,MOVE,"[('0261', 'DROPPING', 2, False, -3)]",0053,"['0053', '0080', '0237', '0019', '0196', '0158', '0173', '0160', '0007', '0140', 'dynamic_2', '0140', '0007', '0160', '0173', '0158', '0196', '0019', '0237', '0080', '0364', '0350', '0123', '0061', '0474', '0320', '0224', '0426', '0321', '0440', '0102', '0168', '0334', '0387', '0439', '0455', '0250', '0476', '0088', '0261']",[],0
2026-03-02 21:26:04_100_0.3_26,60.0,SHUTTLE0003,MOVE,[],0466,"['0466', '0259', '0335', '0454', '0035', 'dynamic_1', '0035', '0454', '0335', '0077', '0415', '0391', '0447', '0082', '0271', '0285', '0014', '0299', '0358', '0249', '0133', '0392', '0053', '0080', '0237', '0019']",[],0
2026-03-02 21:26:04_100_0.3_26,70.0,SHUTTLE0002,MOVE,"[('0261', 'DROPPING', 2, False, -3)]",0080,"['0080', '0237', '0019', '0196', '0158', '0173', '0160', '0007', '0140', 'dynamic_2', '0140', '0007', '0160', '0173', '0158', '0196', '0019', '0237', '0080', '0364', '0350', '0123', '0061', '0474', '0320', '0224', '0426', '0321', '0440', '0102', '0168', '0334', '0387', '0439', '0455', '0250', '0476', '0088', '0261']",[],0
2026-03-02 21:26:04_100_0.3_26,70.0,SHUTTLE0003,MOVE,[],0259,"['0259', '0335', '0454', '0035', 'dynamic_1', '0035', '0454', '0335', '0077', '0415', '0391', '0447', '0082', '0271', '0285', '0014', '0299', '0358', '0249', '0133', '0392', '0053', '0080', '0237', '0019']",[],0
2026-03-02 21:26:04_100_0.3_26,80.0,SHUTTLE0002,MOVE,"[('0261', 'DROPPING', 2, False, -3)]",0237,"['0237', '0019', '0196', '0158', '0173', '0160', '0007', '0140', 'dynamic_2', '0140', '0007', '0160', '0173', '0158', '0196', '0019', '0237', '0080', '0364', '0350', '0123', '0061', '0474', '0320', '0224', '0426', '0321', '0440', '0102', '0168', '0334', '0387', '0439', '0455', '0250', '0476', '0088', '0261']",[],0
2026-03-02 21:26:04_100_0.3_26,80.0,SHUTTLE0003,MOVE,[],0335,"['0335', '0454', '0035', 'dynamic_1', '0035', '0454', '0335', '0077', '0415', '0391', '0447', '0082', '0271', '0285', '0014', '0299', '0358', '0249', '0133', '0392', '0053', '0080', '0237', '0019']",[],0
2026-03-02 21:26:04_100_0.3_26,90.0,SHUTTLE0002,MOVE,"[('0261', 'DROPPING', 2, False, -3)]",0019,"['0019', '0196', '0158', '0173', '0160', '0007', '0140', 'dynamic_2', '0140', '0007', '0160', '0173', '0158', '0196', '0019', '0237', '0080', '0364', '0350', '0123', '0061', '0474', '0320', '0224', '0426', '0321', '0440', '0102', '0168', '0334', '0387', '0439', '0455', '0250', '0476', '0088', '0261']",[],0
2026-03-02 21:26:04_100_0.3_26,90.0,SHUTTLE0003,MOVE,[],0454,"['0454', '0035', 'dynamic_1', '0035', '0454', '0335', '0077', '0415', '0391', '0447', '0082', '0271', '0285', '0014', '0299', '0358', '0249', '0133', '0392', '0053', '0080', '0237', '0019']",[],0
