scenario_info,passenger_id,psgrNum,dep_node,dep_node_expanded,arr_node,calltime,shuttleid,expectedwaitingtime,expectedarrivaltime,waitstarttime,boardingtime,success,shuttleID,pathChanged,arrivaltime,increased_time
2026-03-02 22:38:34_100_0.3_32,1,3,dynamic_1,"(126.83287746636924, 37.307304650260456)",0349,151,SHUTTLE0002,112.171961124318,234.171961124318,151.0,256.0,True,SHUTTLE0002,1.0,623.0,132.828038875682
2026-03-02 22:38:34_100_0.3_32,2,2,dynamic_2,"(126.84017270546602, 37.29564199445313)",0082,234,SHUTTLE0004,199.19803403289112,221.19803403289112,234.0,379.0,True,SHUTTLE0004,,554.0,-46.198034032891115
2026-03-02 22:38:34_100_0.3_32,3,2,dynamic_3,"(126.85259853054322, 37.29621542524821)",0312,291,SHUTTLE0002,179.21203952690516,255.2120395269052,291.0,648.0,True,SHUTTLE0002,1.0,865.0,-38.21203952690519
2026-03-02 22:38:34_100_0.3_32,4,2,dynamic_4,"(126.86476502055426, 37.28650347064399)",0165,325,SHUTTLE0006,68.3477707099523,351.34777070995233,325.0,370.0,True,SHUTTLE0006,,585.0,-136.34777070995233
2026-03-02 22:38:34_100_0.3_32,5,3,dynamic_5,"(126.83364472516429, 37.295736371373586)",0349,338,SHUTTLE0002,153.32173754609536,263.3217375460954,338.0,453.0,True,SHUTTLE0002,,618.0,-98.32173754609539
2026-03-02 22:38:34_100_0.3_32,6,3,dynamic_6,"(126.83348682396198, 37.29742133557068)",0398,554,SHUTTLE0001,299.2507253984222,222.25072539842222,554.0,799.0,True,SHUTTLE0001,1.0,1431.0,409.7492746015778
2026-03-02 22:38:34_100_0.3_32,7,4,dynamic_7,"(126.83871497417907, 37.298099160732704)",0203,570,SHUTTLE0004,193.1811614794528,239.1811614794528,570.0,725.0,True,SHUTTLE0004,1.0,1294.0,329.81883852054716
2026-03-02 22:38:34_100_0.3_32,8,3,dynamic_8,"(126.8330032577872, 37.3128737464828)",0203,708,SHUTTLE0003,109.20289536290102,55.20289536290102,708.0,833.0,True,SHUTTLE0003,,898.0,9.797104637098982
2026-03-02 22:38:34_100_0.3_32,9,3,dynamic_9,"(126.84230171724303, 37.29713211722023)",0279,799,SHUTTLE0004,138.12952549903605,323.12952549903605,799.0,914.0,True,SHUTTLE0004,,1169.0,-68.12952549903605
2026-03-02 22:38:34_100_0.3_32,10,2,dynamic_10,"(126.83259326680864, 37.30785101252019)",0246,810,SHUTTLE0002,64.13356723178178,44.13356723178178,810.0,920.0,True,SHUTTLE0002,,1015.0,50.86643276821822
2026-03-02 22:38:34_100_0.3_32,11,2,dynamic_11,"(126.85268178325067, 37.29556531195966)",0130,936,SHUTTLE0001,248.26952264248328,129.26952264248328,936.0,1131.0,True,SHUTTLE0001,,1236.0,-24.26952264248328
2026-03-02 22:38:34_100_0.3_32,12,2,dynamic_12,"(126.83016279117165, 37.310443893837466)",0162,941,SHUTTLE0003,80.25214729028781,210.2521472902878,941.0,1046.0,True,SHUTTLE0003,2.0,1812.0,555.7478527097122
2026-03-02 22:38:34_100_0.3_32,13,3,dynamic_13,"(126.84233418460809, 37.29649681586286)",0404,1018,SHUTTLE0002,268.1276988870067,217.12769888700674,1018.0,1243.0,True,SHUTTLE0002,1.0,1764.0,303.8723011129932
2026-03-02 22:38:34_100_0.3_32,14,3,dynamic_14,"(126.8330473314065, 37.296954099141665)",0162,1067,SHUTTLE0003,222.23346250394536,41.23346250394536,1067.0,1225.0,True,SHUTTLE0003,1.0,1695.0,428.76653749605464
2026-03-02 22:38:34_100_0.3_32,15,2,dynamic_15,"(126.85710292585391, 37.29101595746819)",0203,1155,SHUTTLE0006,286.27225914359565,266.27225914359565,1155.0,1350.0,True,SHUTTLE0006,1.0,2139.0,522.7277408564044
2026-03-02 22:38:34_100_0.3_32,16,3,dynamic_16,"(126.838058728506, 37.29632179246594)",0398,1156,SHUTTLE0005,308.3602010527879,193.3602010527879,1156.0,1607.0,True,SHUTTLE0005,5.0,2325.0,524.6397989472121
2026-03-02 22:38:34_100_0.3_32,17,4,dynamic_17,"(126.8496352246162, 37.30995880922987)",0162,1180,SHUTTLE0003,287.6194428757363,284.1525178678456,1180.0,1450.0,True,SHUTTLE0003,,1807.0,72.84748213215443
2026-03-02 22:38:34_100_0.3_32,18,2,dynamic_18,"(126.84637961287473, 37.29927222756871)",0151,1338,SHUTTLE0002,105.38783438759674,169.38783438759674,1338.0,1799.0,True,SHUTTLE0002,1.0,1954.0,-14.38783438759674
2026-03-02 22:38:34_100_0.3_32,19,4,dynamic_19,"(126.84551438478327, 37.31038351260162)",0281,1369,SHUTTLE0002,98.16561948173305,68.16561948173305,1369.0,1534.0,True,SHUTTLE0002,,1699.0,96.83438051826695
2026-03-02 22:38:34_100_0.3_32,20,3,dynamic_20,"(126.83416303883024, 37.296235315116256)",0166,1382,SHUTTLE0005,72.21866692060205,108.21866692060205,1382.0,1437.0,True,SHUTTLE0005,,1522.0,-23.218666920602047
2026-03-02 22:38:34_100_0.3_32,21,2,dynamic_21,"(126.83830658298052, 37.31169095278508)",0031,1486,SHUTTLE0004,77.24141432825353,264.24141432825354,1486.0,1589.0,True,SHUTTLE0004,3.0,1932.0,78.75858567174646
2026-03-02 22:38:34_100_0.3_32,22,1,dynamic_22,"(126.83739657110384, 37.29762586758092)",0221,1500,SHUTTLE0001,171.30780976371832,177.30780976371832,1500.0,1643.0,True,SHUTTLE0001,3.0,,
2026-03-02 22:38:34_100_0.3_32,23,1,dynamic_23,"(126.83739657110384, 37.29762586758092)",0221,1514,SHUTTLE0004,250.79063842022538,319.3078097637183,1514.0,1797.0,True,SHUTTLE0004,2.0,2148.0,31.692190236281704
2026-03-02 22:38:34_100_0.3_32,24,1,dynamic_24,"(126.83739657110384, 37.29762586758092)",0221,1537,SHUTTLE0001,131.92342929115497,177.30780976371832,1537.0,1838.0,True,SHUTTLE0001,2.0,,
2026-03-02 22:38:34_100_0.3_32,25,1,dynamic_25,"(126.83739657110384, 37.29762586758092)",0221,1594,SHUTTLE0006,201.30780976371832,177.30780976371832,1594.0,1809.0,True,SHUTTLE0006,,1984.0,-2.307809763718325
2026-03-02 22:38:34_100_0.3_32,26,2,dynamic_26,"(126.83634119628508, 37.29291714928738)",0203,1608,SHUTTLE0001,117.7633503000434,321.7633503000434,1608.0,1738.0,True,SHUTTLE0001,1.0,2098.0,38.236649699956615
2026-03-02 22:38:34_100_0.3_32,27,1,dynamic_27,"(126.83739657110384, 37.29762586758092)",0221,1621,SHUTTLE0005,22.30780976371832,177.30780976371832,1621.0,1945.0,True,SHUTTLE0005,3.0,2195.0,72.69219023628168
2026-03-02 22:38:34_100_0.3_32,28,1,dynamic_28,"(126.83739657110384, 37.29762586758092)",0221,1626,SHUTTLE0005,22.923429291154964,177.30780976371832,1626.0,2015.0,True,SHUTTLE0005,2.0,2200.0,7.692190236281675
2026-03-02 22:38:34_100_0.3_32,29,1,dynamic_29,"(126.83739657110384, 37.29762586758092)",0221,1629,SHUTTLE0005,22.923429291154964,177.92342929115497,1629.0,1980.0,True,SHUTTLE0005,1.0,2190.0,32.076570708845026
2026-03-02 22:38:34_100_0.3_32,30,4,dynamic_30,"(126.83638233719563, 37.299344765547964)",0034,1630,SHUTTLE0005,43.302457563138084,147.3024575631381,1630.0,1685.0,True,SHUTTLE0005,,1810.0,-22.30245756313809
2026-03-02 22:38:34_100_0.3_32,31,1,dynamic_31,"(126.83739657110384, 37.29762586758092)",0221,1672,SHUTTLE0004,96.92342929115496,319.3078097637183,1672.0,1832.0,True,SHUTTLE0004,1.0,2143.0,-8.307809763718296
2026-03-02 22:38:34_100_0.3_32,32,1,dynamic_32,"(126.83739657110384, 37.29762586758092)",0221,1672,SHUTTLE0004,97.5390488185916,319.3078097637183,1672.0,1867.0,True,SHUTTLE0004,,2138.0,-48.307809763718296
2026-03-02 22:38:34_100_0.3_32,33,2,dynamic_33,"(126.84149600834674, 37.29672855867419)",0082,1792,SHUTTLE0003,78.20273402944412,250.20273402944412,1792.0,2029.0,True,SHUTTLE0003,2.0,2569.0,289.7972659705559
2026-03-02 22:38:34_100_0.3_32,34,1,dynamic_34,"(126.83739657110384, 37.29762586758092)",0221,1803,SHUTTLE0001,14.923429291154964,341.3078097637183,1803.0,1873.0,True,SHUTTLE0001,,2253.0,38.692190236281704
2026-03-02 22:38:34_100_0.3_32,35,2,dynamic_35,"(126.83647356264353, 37.29266771787714)",0389,1851,SHUTTLE0003,84.23748352824066,44.23748352824066,1851.0,1919.0,True,SHUTTLE0003,,1964.0,0.7625164717593407
2026-03-02 22:38:34_100_0.3_32,36,2,dynamic_36,"(126.86643537601921, 37.29379637278141)",0456,1874,SHUTTLE0003,553.9516470861512,551.0712119707816,1874.0,2304.0,True,SHUTTLE0003,1.0,3053.0,197.92878802921837
2026-03-02 22:38:34_100_0.3_32,37,3,dynamic_37,"(126.83756038245517, 37.297150138165904)",0274,2044,SHUTTLE0002,212.34725219787288,117.34725219787289,2044.0,2229.0,True,SHUTTLE0002,,2304.0,-42.34725219787289
2026-03-02 22:38:34_100_0.3_32,38,2,dynamic_38,"(126.84165277534971, 37.31401677655004)",0456,2063,SHUTTLE0004,144.0493924761302,263.0493924761302,2063.0,2273.0,True,SHUTTLE0004,,2498.0,-38.04939247613021
2026-03-02 22:38:34_100_0.3_32,39,3,dynamic_39,"(126.85261150026092, 37.29120516998444)",0133,2113,,,,,,False,,,,
2026-03-02 22:38:34_100_0.3_32,40,3,dynamic_40,"(126.86688989995484, 37.28619953503313)",0398,2287,SHUTTLE0006,372.35191430592994,389.35191430592994,2287.0,2602.0,True,SHUTTLE0006,1.0,3230.0,238.64808569407006
2026-03-02 22:38:34_100_0.3_32,41,2,dynamic_41,"(126.84798643883413, 37.302923509988545)",0306,2355,SHUTTLE0005,137.29063737783414,141.29063737783412,2355.0,2490.0,True,SHUTTLE0005,,2639.0,7.709362622165884
2026-03-02 22:38:34_100_0.3_32,42,3,dynamic_42,"(126.83247410214618, 37.30870591339533)",0324,2554,SHUTTLE0005,121.13557957210061,85.13557957210061,2554.0,2724.0,True,SHUTTLE0005,1.0,3081.0,271.8644204278994
2026-03-02 22:38:34_100_0.3_32,43,2,dynamic_43,"(126.84666450925614, 37.305781871326076)",0173,2648,SHUTTLE0003,190.11511200016747,198.11511200016747,2648.0,2813.0,True,SHUTTLE0003,,3008.0,-3.1151120001674713
