scenario_info,passenger_id,psgrNum,dep_node,dep_node_expanded,arr_node,calltime,shuttleid,expectedwaitingtime,expectedarrivaltime,waitstarttime,pathChanged,boardingtime,success,shuttleID,arrivaltime,increased_time
2026-03-02 22:46:12_100_0.3_69,1,2,dynamic_1,"(126.84512545067257, 37.30544490664282)",0187,151,SHUTTLE0002,77.09273255437114,103.09273255437114,151,1.0,659.0,True,SHUTTLE0002,784.0,21.90726744562886
2026-03-02 22:46:12_100_0.3_69,2,2,dynamic_2,"(126.83409271148886, 37.2951888835087)",0082,184,SHUTTLE0002,160.17310514087202,229.17310514087202,184,,339.0,True,SHUTTLE0002,514.0,-54.173105140872025
2026-03-02 22:46:12_100_0.3_69,3,4,dynamic_3,"(126.83567143898057, 37.294198588151424)",0031,362,SHUTTLE0004,247.1121092592351,19.11210925923511,362,,537.0,True,SHUTTLE0004,572.0,15.887890740764892
2026-03-02 22:46:12_100_0.3_69,4,3,dynamic_4,"(126.8379969652318, 37.29826591332746)",0082,502,SHUTTLE0004,109.27937636462306,179.05515784615284,502,,637.0,True,SHUTTLE0004,782.0,-34.05515784615284
2026-03-02 22:46:12_100_0.3_69,5,3,dynamic_5,"(126.84684721919955, 37.30833740914908)",0274,617,SHUTTLE0001,135.13044607991213,218.13044607991213,617,,772.0,True,SHUTTLE0001,947.0,-43.13044607991213
2026-03-02 22:46:12_100_0.3_69,6,4,dynamic_6,"(126.84014793092658, 37.2955245675019)",0329,636,SHUTTLE0003,318.2044209603617,302.20442096036174,636,,901.0,True,SHUTTLE0003,1156.0,-47.204420960361745
2026-03-02 22:46:12_100_0.3_69,7,3,dynamic_7,"(126.86421324312506, 37.30246464538729)",0053,710,SHUTTLE0006,159.30464240496352,184.30464240496352,710,1.0,815.0,True,SHUTTLE0006,1459.0,459.6953575950365
2026-03-02 22:46:12_100_0.3_69,8,3,dynamic_8,"(126.83338295054148, 37.30873062474344)",0362,737,SHUTTLE0005,139.32745471754012,194.32745471754015,737,,932.0,True,SHUTTLE0005,1067.0,-59.32745471754015
2026-03-02 22:46:12_100_0.3_69,9,3,dynamic_9,"(126.8570049931825, 37.29148375729188)",0114,964,SHUTTLE0006,210.35700042045127,300.3570004204513,964,,1149.0,True,SHUTTLE0006,1384.0,-65.3570004204513
2026-03-02 22:46:12_100_0.3_69,10,4,dynamic_10,"(126.8510161365836, 37.29584496201324)",0162,1054,SHUTTLE0002,235.3320013385988,302.3320013385988,1054,,1249.0,True,SHUTTLE0002,1444.0,-107.33200133859879
2026-03-02 22:46:12_100_0.3_69,11,4,dynamic_11,"(126.8340323017746, 37.29481717998195)",0182,1126,SHUTTLE0005,42.24841641673926,239.24841641673925,1126,,1171.0,True,SHUTTLE0005,1356.0,-54.248416416739246
2026-03-02 22:46:12_100_0.3_69,12,3,dynamic_12,"(126.85574878482343, 37.3027873222696)",0116,1207,SHUTTLE0003,105.3318192188009,201.3318192188009,1207,,1292.0,True,SHUTTLE0003,1487.0,-6.331819218800888
2026-03-02 22:46:12_100_0.3_69,13,4,dynamic_13,"(126.83976873530887, 37.2975306685594)",0203,1296,SHUTTLE0001,123.33933106692353,247.33933106692353,1296,2.0,1371.0,True,SHUTTLE0001,2445.0,826.6606689330765
2026-03-02 22:46:12_100_0.3_69,14,2,dynamic_14,"(126.82690471642809, 37.318539263947436)",0274,1351,SHUTTLE0004,73.32029180527758,307.3202918052776,1351,1.0,1446.0,True,SHUTTLE0004,2182.0,428.6797081947224
2026-03-02 22:46:12_100_0.3_69,15,2,dynamic_15,"(126.84512485300063, 37.31086660096375)",0349,1475,SHUTTLE0006,116.32829942733493,201.3282994273349,1475,,1630.0,True,SHUTTLE0006,1818.0,-13.328299427334912
2026-03-02 22:46:12_100_0.3_69,16,1,dynamic_16,"(126.83739657110384, 37.29762586758092)",0221,1500,SHUTTLE0002,90.30780976371832,177.30780976371832,1500,6.0,1582.0,True,SHUTTLE0002,,
2026-03-02 22:46:12_100_0.3_69,17,1,dynamic_17,"(126.83739657110384, 37.29762586758092)",0221,1514,SHUTTLE0001,109.30780976371832,177.30780976371832,1514,1.0,1649.0,True,SHUTTLE0001,2290.0,463.6921902362817
2026-03-02 22:46:12_100_0.3_69,18,1,dynamic_18,"(126.83739657110384, 37.29762586758092)",0221,1537,SHUTTLE0002,22.923429291154964,177.30780976371832,1537,5.0,1619.0,True,SHUTTLE0002,,
2026-03-02 22:46:12_100_0.3_69,19,1,dynamic_19,"(126.83739657110384, 37.29762586758092)",0221,1594,SHUTTLE0002,0.9234292911549635,177.30780976371832,1594,4.0,1654.0,True,SHUTTLE0002,,
2026-03-02 22:46:12_100_0.3_69,20,2,dynamic_20,"(126.84083570882875, 37.31152365637987)",0116,1604,SHUTTLE0005,109.1919133785671,119.19191337856711,1604,2.0,2106.0,True,SHUTTLE0005,2286.0,60.80808662143289
2026-03-02 22:46:12_100_0.3_69,21,3,dynamic_21,"(126.86420579641846, 37.303481997744484)",0176,1606,SHUTTLE0003,256.4453197006244,118.44531970062437,1606,2.0,2104.0,True,SHUTTLE0003,2219.0,-3.445319700624367
2026-03-02 22:46:12_100_0.3_69,22,1,dynamic_22,"(126.83739657110384, 37.29762586758092)",0221,1621,SHUTTLE0005,201.30780976371832,177.30780976371832,1621,,1806.0,True,SHUTTLE0005,1981.0,-2.307809763718325
2026-03-02 22:46:12_100_0.3_69,23,1,dynamic_23,"(126.83739657110384, 37.29762586758092)",0221,1626,SHUTTLE0003,175.30780976371832,177.30780976371832,1626,1.0,1774.0,True,SHUTTLE0003,1984.0,32.692190236281675
2026-03-02 22:46:12_100_0.3_69,24,2,dynamic_24,"(126.8185130797638, 37.314217582644126)",0253,1627,SHUTTLE0004,231.14796751753164,86.14796751753164,1627,,1862.0,True,SHUTTLE0004,1947.0,-1.1479675175316402
2026-03-02 22:46:12_100_0.3_69,25,1,dynamic_25,"(126.83739657110384, 37.29762586758092)",0221,1629,SHUTTLE0003,175.92342929115497,177.30780976371832,1629,,1809.0,True,SHUTTLE0003,1989.0,2.692190236281675
2026-03-02 22:46:12_100_0.3_69,26,3,dynamic_26,"(126.83243127047407, 37.30892525473863)",0048,1658,SHUTTLE0006,423.20967361830367,256.20967361830367,1658,1.0,2098.0,True,SHUTTLE0006,2378.0,23.79032638169633
2026-03-02 22:46:12_100_0.3_69,27,1,dynamic_27,"(126.83739657110384, 37.29762586758092)",0221,1672,SHUTTLE0002,0.3078097637183212,177.30780976371832,1672,3.0,1697.0,True,SHUTTLE0002,2400.0,525.6921902362817
2026-03-02 22:46:12_100_0.3_69,28,1,dynamic_28,"(126.83739657110384, 37.29762586758092)",0221,1672,SHUTTLE0002,0.9234292911549635,177.30780976371832,1672,2.0,1732.0,True,SHUTTLE0002,,
2026-03-02 22:46:12_100_0.3_69,29,2,dynamic_29,"(126.832309479851, 37.31146012830574)",0274,1741,SHUTTLE0005,467.0410812737673,274.04163498919644,1741,,2201.0,True,SHUTTLE0005,2451.0,-24.04163498919644
2026-03-02 22:46:12_100_0.3_69,30,2,dynamic_30,"(126.83183518360279, 37.30998055909675)",0203,1785,SHUTTLE0002,140.13823879135063,85.13823879135064,1785,1.0,2150.0,True,SHUTTLE0002,2245.0,9.861761208649355
2026-03-02 22:46:12_100_0.3_69,31,1,dynamic_31,"(126.83739657110384, 37.29762586758092)",0221,1803,SHUTTLE0006,212.30780976371832,308.72715700032563,1803,,1963.0,True,SHUTTLE0006,2223.0,-48.72715700032563
