scenario_info,passenger_id,psgrNum,dep_node,dep_node_expanded,arr_node,calltime,shuttleid,expectedwaitingtime,expectedarrivaltime,waitstarttime,boardingtime,success,shuttleID,arrivaltime,increased_time,pathChanged
2026-03-02 22:31:14_100_0.3_94,1,3,dynamic_1,"(126.83973727352036, 37.29616403918699)",0349,11,SHUTTLE0002,109.12968703741254,254.12968703741254,11.0,116.0,True,SHUTTLE0002,293.0,-77.12968703741254,
2026-03-02 22:31:14_100_0.3_94,2,2,dynamic_2,"(126.86351693795116, 37.30230285656249)",0059,258,SHUTTLE0002,196.0977113717965,250.0977113717965,258.0,408.0,True,SHUTTLE0002,918.0,259.9022886282035,1.0
2026-03-02 22:31:14_100_0.3_94,3,4,dynamic_3,"(126.83382403693471, 37.296478961506494)",0221,345,SHUTTLE0004,208.08448745915118,228.08448745915118,345.0,480.0,True,SHUTTLE0004,682.0,-26.084487459151177,
2026-03-02 22:31:14_100_0.3_94,4,2,dynamic_4,"(126.84906005262646, 37.31586353865931)",0156,367,SHUTTLE0001,75.01802844055082,96.01802844055084,367.0,472.0,True,SHUTTLE0001,617.0,48.981971559449164,
2026-03-02 22:31:14_100_0.3_94,5,2,dynamic_5,"(126.82825977888389, 37.30897760733039)",0284,504,SHUTTLE0003,101.17820554507809,230.17820554507807,504.0,609.0,True,SHUTTLE0003,784.0,-55.17820554507807,
2026-03-02 22:31:14_100_0.3_94,6,2,dynamic_6,"(126.86032566660145, 37.30168405762746)",0044,543,SHUTTLE0002,129.15820041165034,208.15820041165034,543.0,668.0,True,SHUTTLE0002,803.0,-73.15820041165034,
2026-03-02 22:31:14_100_0.3_94,7,2,dynamic_7,"(126.86379706911822, 37.28450406260142)",0274,544,SHUTTLE0006,82.30039348933046,360.3003934893305,544.0,599.0,True,SHUTTLE0006,784.0,-175.30039348933047,
2026-03-02 22:31:14_100_0.3_94,8,2,dynamic_8,"(126.85089366804878, 37.30370141318014)",0244,577,SHUTTLE0004,151.3883358143175,231.3883358143175,577.0,767.0,True,SHUTTLE0004,912.0,-86.38833581431749,
2026-03-02 22:31:14_100_0.3_94,9,3,dynamic_9,"(126.83782091129754, 37.29924959750546)",0408,636,SHUTTLE0001,205.2844235777324,59.28442357773242,636.0,781.0,True,SHUTTLE0001,846.0,5.715576422267581,
2026-03-02 22:31:14_100_0.3_94,10,2,dynamic_10,"(126.83191133875576, 37.30886914709227)",0349,800,SHUTTLE0005,135.1897533428249,249.1897533428249,800.0,985.0,True,SHUTTLE0005,1190.0,-44.1897533428249,
2026-03-02 22:31:14_100_0.3_94,11,2,dynamic_11,"(126.86416133621039, 37.302531995767005)",0203,920,SHUTTLE0001,168.2873100911778,202.2873100911778,920.0,1075.0,True,SHUTTLE0001,1261.0,-16.2873100911778,
2026-03-02 22:31:14_100_0.3_94,12,3,dynamic_12,"(126.83614310438837, 37.29985754943315)",0349,936,SHUTTLE0003,72.31927892058609,191.3192789205861,936.0,991.0,True,SHUTTLE0003,1126.0,-56.3192789205861,
2026-03-02 22:31:14_100_0.3_94,13,3,dynamic_13,"(126.83576464827732, 37.29374036733561)",0050,999,SHUTTLE0004,42.149211813118264,83.14921181311826,999.0,1044.0,True,SHUTTLE0004,1109.0,-18.149211813118256,
2026-03-02 22:31:14_100_0.3_94,14,3,dynamic_14,"(126.83253246909736, 37.29726647974134)",0293,1076,SHUTTLE0006,31.291800694056707,107.2918006940567,1076.0,1111.0,True,SHUTTLE0006,1216.0,-2.291800694056704,
2026-03-02 22:31:14_100_0.3_94,15,4,dynamic_15,"(126.83016598643077, 37.30972790188782)",0355,1088,SHUTTLE0002,4.045629123351405,389.04562912335143,1088.0,1123.0,True,SHUTTLE0002,1408.0,-104.04562912335143,
2026-03-02 22:31:14_100_0.3_94,16,3,dynamic_16,"(126.84274871690928, 37.29641073261435)",0279,1206,SHUTTLE0004,121.2521821929395,323.2521821929395,1206.0,1281.0,True,SHUTTLE0004,1790.0,185.74781780706053,1.0
2026-03-02 22:31:14_100_0.3_94,17,4,dynamic_17,"(126.83014096090197, 37.31054091369957)",0196,1216,SHUTTLE0001,109.28527360839539,193.28527360839539,1216.0,1366.0,True,SHUTTLE0001,1894.0,334.7147263916046,1.0
2026-03-02 22:31:14_100_0.3_94,18,2,dynamic_18,"(126.83379491157956, 37.29898825063533)",0413,1260,SHUTTLE0006,86.24326208599335,342.24326208599336,1260.0,1355.0,True,SHUTTLE0006,1590.0,-107.24326208599336,
2026-03-02 22:31:14_100_0.3_94,19,2,dynamic_19,"(126.82946370917261, 37.296056394868955)",0139,1345,SHUTTLE0004,82.39595902777698,317.395959027777,1345.0,1400.0,True,SHUTTLE0004,1685.0,-32.395959027776996,
2026-03-02 22:31:14_100_0.3_94,20,1,dynamic_20,"(126.83739657110384, 37.29762586758092)",0221,1500,SHUTTLE0001,28.30780976371832,177.30780976371832,1500.0,1929.0,True,SHUTTLE0001,2104.0,-2.307809763718325,1.0
2026-03-02 22:31:14_100_0.3_94,21,2,dynamic_21,"(126.83182052348745, 37.3088881829949)",0456,1519,SHUTTLE0001,182.1978427410101,217.1978427410101,1519.0,1664.0,True,SHUTTLE0001,1839.0,-42.197842741010106,
2026-03-02 22:31:14_100_0.3_94,22,1,dynamic_22,"(126.83739657110384, 37.29762586758092)",0221,1530,SHUTTLE0003,212.30780976371832,177.30780976371832,1530.0,1705.0,True,SHUTTLE0003,,,3.0
2026-03-02 22:31:14_100_0.3_94,23,1,dynamic_23,"(126.83739657110384, 37.29762586758092)",0221,1560,SHUTTLE0005,212.30780976371832,177.30780976371832,1560.0,1715.0,True,SHUTTLE0005,,,2.0
2026-03-02 22:31:14_100_0.3_94,24,1,dynamic_24,"(126.83739657110384, 37.29762586758092)",0221,1590,SHUTTLE0003,121.92342929115496,177.30780976371832,1590.0,1810.0,True,SHUTTLE0003,,,2.0
2026-03-02 22:31:14_100_0.3_94,25,1,dynamic_25,"(126.83739657110384, 37.29762586758092)",0221,1620,SHUTTLE0005,121.92342929115496,177.30780976371832,1620.0,1750.0,True,SHUTTLE0005,,,1.0
2026-03-02 22:31:14_100_0.3_94,26,1,dynamic_26,"(126.83739657110384, 37.29762586758092)",0221,1650,SHUTTLE0003,29.923429291154964,177.92342929115497,1650.0,1740.0,True,SHUTTLE0003,,,1.0
2026-03-02 22:31:14_100_0.3_94,27,1,dynamic_27,"(126.83739657110384, 37.29762586758092)",0221,1680,SHUTTLE0003,1.5390488185916058,177.92342929115497,1680.0,1775.0,True,SHUTTLE0003,1985.0,32.076570708845026,
2026-03-02 22:31:14_100_0.3_94,28,1,dynamic_28,"(126.83739657110384, 37.29762586758092)",0221,1710,SHUTTLE0006,333.3078097637183,177.30780976371832,1710.0,1945.0,True,SHUTTLE0006,2120.0,-2.307809763718325,
2026-03-02 22:31:14_100_0.3_94,29,1,dynamic_29,"(126.83739657110384, 37.29762586758092)",0221,1740,SHUTTLE0002,356.3078097637183,177.30780976371832,1740.0,1985.0,True,SHUTTLE0002,2642.0,479.6921902362817,1.0
2026-03-02 22:31:14_100_0.3_94,30,1,dynamic_30,"(126.83739657110384, 37.29762586758092)",0221,1770,SHUTTLE0005,0.3078097637183212,177.30780976371832,1770.0,1795.0,True,SHUTTLE0005,1970.0,-2.307809763718325,
2026-03-02 22:31:14_100_0.3_94,31,2,dynamic_31,"(126.81657995974778, 37.30890447965531)",0456,1882,SHUTTLE0004,14.041523350212294,290.0415233502123,1882.0,1937.0,True,SHUTTLE0004,,,1.0
2026-03-02 22:31:14_100_0.3_94,32,4,dynamic_32,"(126.84244513450824, 37.29664588828641)",0375,2117,SHUTTLE0002,210.1259930549428,290.1259930549428,2117.0,2302.0,True,SHUTTLE0002,2517.0,-75.1259930549428,
2026-03-02 22:31:14_100_0.3_94,33,2,dynamic_33,"(126.83541913147717, 37.29379765693522)",0456,2128,SHUTTLE0004,85.06774849673012,67.06774849673012,2128.0,2183.0,True,SHUTTLE0004,2228.0,-22.06774849673012,
2026-03-02 22:31:14_100_0.3_94,34,2,dynamic_34,"(126.86259898378174, 37.30164815159734)",0214,2147,SHUTTLE0001,118.20108283297837,165.2010828329784,2147.0,2272.0,True,SHUTTLE0001,2427.0,-10.201082832978386,
2026-03-02 22:31:14_100_0.3_94,35,3,dynamic_35,"(126.83358289966509, 37.310513940868276)",0019,2268,SHUTTLE0006,161.41694825198616,181.41694825198616,2268.0,2403.0,True,SHUTTLE0006,2538.0,-46.416948251986156,
2026-03-02 22:31:14_100_0.3_94,36,3,dynamic_36,"(126.83684049577012, 37.29898455988362)",0059,2475,SHUTTLE0001,48.31717031036745,156.31717031036746,2475.0,2550.0,True,SHUTTLE0001,2685.0,-21.31717031036746,
2026-03-02 22:31:14_100_0.3_94,37,2,dynamic_37,"(126.83212050574744, 37.285252873540045)",0114,2799,SHUTTLE0001,167.31072979084746,179.31072979084746,2799.0,2964.0,True,SHUTTLE0001,3441.0,297.68927020915254,2.0
2026-03-02 22:31:14_100_0.3_94,38,4,dynamic_38,"(126.83880149620822, 37.29562192413351)",0114,2851,SHUTTLE0006,42.272706459957504,0.27270645995750514,2851.0,2906.0,True,SHUTTLE0006,2931.0,24.727293540042496,
2026-03-02 22:31:14_100_0.3_94,39,3,dynamic_39,"(126.83241960934787, 37.30873806639308)",0203,2902,SHUTTLE0002,144.14846055282274,91.14846055282274,2902.0,3027.0,True,SHUTTLE0002,3122.0,3.8515394471772595,
