scenario_info,passenger_id,psgrNum,dep_node,dep_node_expanded,arr_node,calltime,shuttleid,expectedwaitingtime,expectedarrivaltime,waitstarttime,boardingtime,success,shuttleID,arrivaltime,increased_time,pathChanged
2026-03-03 14:14:02_100_0.3_71,1,4,dynamic_1,"(126.83208309383602, 37.30818502777817)",0421,37,SHUTTLE0003,125.07206630016789,200.07206630016788,37,202.0,True,SHUTTLE0003,367.0,-35.072066300167876,
2026-03-03 14:14:02_100_0.3_71,2,2,dynamic_2,"(126.8384175909809, 37.30035117092282)",0031,86,SHUTTLE0002,38.25342622164208,100.25342622164209,86,141.0,True,SHUTTLE0002,226.0,-15.253426221642087,
2026-03-03 14:14:02_100_0.3_71,3,2,dynamic_3,"(126.84299151636901, 37.29727964593526)",0310,94,SHUTTLE0004,66.17976165239118,181.17976165239116,94,139.0,True,SHUTTLE0004,294.0,-26.179761652391164,
2026-03-03 14:14:02_100_0.3_71,4,2,dynamic_4,"(126.83204940196346, 37.30878107023636)",0019,283,SHUTTLE0005,135.16791185485084,168.16791185485084,283,468.0,True,SHUTTLE0005,603.0,-33.16791185485084,
2026-03-03 14:14:02_100_0.3_71,5,2,dynamic_5,"(126.83167417892815, 37.30901535779332)",0203,339,SHUTTLE0004,143.2231008443352,85.2231008443352,339,494.0,True,SHUTTLE0004,593.0,13.776899155664793,
2026-03-03 14:14:02_100_0.3_71,6,2,dynamic_6,"(126.83292573842736, 37.297565200262554)",0196,382,SHUTTLE0002,43.18312743325295,86.18312743325295,382,427.0,True,SHUTTLE0002,492.0,-21.18312743325295,
2026-03-03 14:14:02_100_0.3_71,7,3,dynamic_7,"(126.84616893102613, 37.30333054246796)",0034,501,SHUTTLE0002,119.12339770589732,127.1233977058973,501,606.0,True,SHUTTLE0002,731.0,-2.123397705897304,
2026-03-03 14:14:02_100_0.3_71,8,2,dynamic_8,"(126.83270573594007, 37.30852688309952)",0396,558,SHUTTLE0004,125.10209103665281,142.1020910366528,558,688.0,True,SHUTTLE0004,863.0,32.89790896334719,
2026-03-03 14:14:02_100_0.3_71,9,3,dynamic_9,"(126.8373220817055, 37.29865333978957)",0196,770,SHUTTLE0005,0.21033587006024465,14.210335870060245,770,795.0,True,SHUTTLE0005,830.0,20.789664129939755,
2026-03-03 14:14:02_100_0.3_71,10,2,dynamic_10,"(126.8382831578794, 37.31332145892948)",0356,992,SHUTTLE0001,103.12925270193057,209.12925270193057,992,1107.0,True,SHUTTLE0001,1316.0,-0.12925270193056804,
2026-03-03 14:14:02_100_0.3_71,11,3,dynamic_11,"(126.8338964982491, 37.296190655689095)",0314,1015,SHUTTLE0005,65.1819777730477,215.18197777304772,1015,1070.0,True,SHUTTLE0005,1185.0,-100.18197777304772,
2026-03-03 14:14:02_100_0.3_71,12,3,dynamic_12,"(126.83096000611148, 37.30919971718636)",0114,1137,SHUTTLE0002,19.13409194275746,219.13409194275746,1137,1182.0,True,SHUTTLE0002,1357.0,-44.134091942757465,
2026-03-03 14:14:02_100_0.3_71,13,2,dynamic_13,"(126.8513996169953, 37.295341422934015)",0146,1221,SHUTTLE0001,149.29705657975626,275.29705657975626,1221,1371.0,True,SHUTTLE0001,1601.0,-45.29705657975626,
2026-03-03 14:14:02_100_0.3_71,14,3,dynamic_14,"(126.83628538611251, 37.29359462658591)",0245,1363,SHUTTLE0002,55.16233551522269,257.1623355152227,1363,1418.0,True,SHUTTLE0002,1881.0,205.8376644847773,1.0
2026-03-03 14:14:02_100_0.3_71,15,2,dynamic_15,"(126.83225622643289, 37.31023731155434)",0173,1383,SHUTTLE0004,130.22896336490172,222.22896336490172,1383,1538.0,True,SHUTTLE0004,1715.0,-45.228963364901716,
2026-03-03 14:14:02_100_0.3_71,16,2,dynamic_16,"(126.83891803768535, 37.296983798177145)",0203,1457,SHUTTLE0002,99.00808192191454,247.00808192191454,1457,1522.0,True,SHUTTLE0002,1767.0,-2.0080819219145383,
2026-03-03 14:14:02_100_0.3_71,17,2,dynamic_17,"(126.83203351106658, 37.310942668817354)",0158,1476,SHUTTLE0001,148.1622311025004,208.1622311025004,1476,1636.0,True,SHUTTLE0001,1801.0,-43.162231102500414,
2026-03-03 14:14:02_100_0.3_71,18,1,dynamic_18,"(126.8352535886907, 37.29247798602247)",0380,1500,SHUTTLE0003,184.34615892727572,338.3461589272757,1500,1625.0,True,SHUTTLE0003,2624.0,660.6538410727243,3.0
2026-03-03 14:14:02_100_0.3_71,19,1,dynamic_19,"(126.8352535886907, 37.29247798602247)",0380,1530,SHUTTLE0005,190.34615892727572,338.3461589272757,1530,1655.0,True,SHUTTLE0005,,,3.0
2026-03-03 14:14:02_100_0.3_71,20,1,dynamic_20,"(126.8352535886907, 37.29247798602247)",0380,1560,SHUTTLE0003,56.03847678182716,338.3461589272757,1560,1695.0,True,SHUTTLE0003,,,2.0
2026-03-03 14:14:02_100_0.3_71,21,1,dynamic_21,"(126.8352535886907, 37.29247798602247)",0380,1590,SHUTTLE0003,14.038476781827157,339.03847678182717,1590,1660.0,True,SHUTTLE0003,1890.0,-109.03847678182717,
2026-03-03 14:14:02_100_0.3_71,22,1,dynamic_22,"(126.8352535886907, 37.29247798602247)",0380,1620,SHUTTLE0005,14.038476781827157,338.3461589272757,1620,1690.0,True,SHUTTLE0005,,,2.0
2026-03-03 14:14:02_100_0.3_71,23,1,dynamic_23,"(126.8352535886907, 37.29247798602247)",0380,1650,SHUTTLE0004,117.34615892727572,338.3461589272757,1650,1845.0,True,SHUTTLE0004,2160.0,-23.346158927275724,2.0
2026-03-03 14:14:02_100_0.3_71,24,1,dynamic_24,"(126.8352535886907, 37.29247798602247)",0380,1680,SHUTTLE0004,82.34615892727572,339.03847678182717,1680,1775.0,True,SHUTTLE0004,2155.0,40.96152321817283,1.0
2026-03-03 14:14:02_100_0.3_71,25,2,dynamic_25,"(126.84960101807314, 37.3063957512504)",0076,1708,SHUTTLE0006,263.17002856347085,214.17002856347088,1708,1883.0,True,SHUTTLE0006,2415.0,317.82997143652915,1.0
2026-03-03 14:14:02_100_0.3_71,26,1,dynamic_26,"(126.8352535886907, 37.29247798602247)",0380,1710,SHUTTLE0005,0.346158927275719,338.3461589272757,1710,1735.0,True,SHUTTLE0005,,,1.0
2026-03-03 14:14:02_100_0.3_71,27,1,dynamic_27,"(126.8352535886907, 37.29247798602247)",0380,1740,SHUTTLE0004,14.038476781827157,339.03847678182717,1740,1810.0,True,SHUTTLE0004,2040.0,-109.03847678182717,
