scenario_info,currenttime,shuttle_id,shuttle_state,cur_dst,cur_node,cur_path,cur_psgr,cur_psgr_num
2026-03-03 13:57:00_100_0.3_5,111.0,SHUTTLE0002,MOVE,"[('dynamic_1', 'BOARDING', 1, False, 2), ('0114', 'DROPPING', 1, False, -2)]",0155,"['0155', '0333', '0166', '0053', '0080', '0237', '0019', '0196', '0158', '0173', '0160', '0007', 'dynamic_1', '0007', '0160', '0114']",[],0
2026-03-03 13:57:00_100_0.3_5,121.0,SHUTTLE0002,MOVE,"[('dynamic_1', 'BOARDING', 1, False, 2), ('0114', 'DROPPING', 1, False, -2)]",0333,"['0333', '0166', '0053', '0080', '0237', '0019', '0196', '0158', '0173', '0160', '0007', 'dynamic_1', '0007', '0160', '0114']",[],0
2026-03-03 13:57:00_100_0.3_5,131.0,SHUTTLE0002,MOVE,"[('dynamic_1', 'BOARDING', 1, False, 2), ('0114', 'DROPPING', 1, False, -2)]",0166,"['0166', '0053', '0080', '0237', '0019', '0196', '0158', '0173', '0160', '0007', 'dynamic_1', '0007', '0160', '0114']",[],0
2026-03-03 13:57:00_100_0.3_5,141.0,SHUTTLE0002,MOVE,"[('dynamic_1', 'BOARDING', 1, False, 2), ('0114', 'DROPPING', 1, False, -2)]",0053,"['0053', '0080', '0237', '0019', '0196', '0158', '0173', '0160', '0007', 'dynamic_1', '0007', '0160', '0114']",[],0
2026-03-03 13:57:00_100_0.3_5,151.0,SHUTTLE0002,MOVE,"[('dynamic_1', 'BOARDING', 1, False, 2), ('0114', 'DROPPING', 1, False, -2)]",0080,"['0080', '0237', '0019', '0196', '0158', '0173', '0160', '0007', 'dynamic_1', '0007', '0160', '0114']",[],0
2026-03-03 13:57:00_100_0.3_5,161.0,SHUTTLE0002,MOVE,"[('dynamic_1', 'BOARDING', 1, False, 2), ('0114', 'DROPPING', 1, False, -2)]",0237,"['0237', '0019', '0196', '0158', '0173', '0160', '0007', 'dynamic_1', '0007', '0160', '0114']",[],0
2026-03-03 13:57:00_100_0.3_5,171.0,SHUTTLE0002,MOVE,"[('dynamic_1', 'BOARDING', 1, False, 2), ('0114', 'DROPPING', 1, False, -2)]",0019,"['0019', '0196', '0158', '0173', '0160', '0007', 'dynamic_1', '0007', '0160', '0114']",[],0
2026-03-03 13:57:00_100_0.3_5,181.0,SHUTTLE0002,MOVE,"[('dynamic_1', 'BOARDING', 1, False, 2), ('0114', 'DROPPING', 1, False, -2)]",0196,"['0196', '0158', '0173', '0160', '0007', 'dynamic_1', '0007', '0160', '0114']",[],0
2026-03-03 13:57:00_100_0.3_5,191.0,SHUTTLE0002,MOVE,"[('dynamic_1', 'BOARDING', 1, False, 2), ('0114', 'DROPPING', 1, False, -2)]",0158,"['0158', '0173', '0160', '0007', 'dynamic_1', '0007', '0160', '0114']",[],0
2026-03-03 13:57:00_100_0.3_5,201.0,SHUTTLE0002,MOVE,"[('dynamic_1', 'BOARDING', 1, False, 2), ('0114', 'DROPPING', 1, False, -2)]",0173,"['0173', '0160', '0007', 'dynamic_1', '0007', '0160', '0114']",[],0
