scenario_info,passenger_id,psgrNum,dep_node,dep_node_expanded,arr_node,calltime,shuttleid,expectedwaitingtime,expectedarrivaltime,waitstarttime,boardingtime,success,shuttleID,arrivaltime,increased_time,pathChanged
2026-03-03 12:21:28_100_0.3_87,1,2,dynamic_1,"(126.83181884333257, 37.313373062999176)",0092,33,SHUTTLE0003,92.33690880326112,124.33690880326114,33.0,138.0,True,SHUTTLE0003,253.0,-9.336908803261139,
2026-03-03 12:21:28_100_0.3_87,2,2,dynamic_2,"(126.83691132789927, 37.29793964520443)",0395,59,SHUTTLE0002,67.36353191217921,72.36353191217921,59.0,134.0,True,SHUTTLE0002,193.0,-13.363531912179212,
2026-03-03 12:21:28_100_0.3_87,3,2,dynamic_3,"(126.83933441449022, 37.297064936639146)",0221,158,SHUTTLE0002,143.14641368956336,199.14641368956336,158.0,258.0,True,SHUTTLE0002,458.0,0.8535863104366399,
2026-03-03 12:21:28_100_0.3_87,4,2,dynamic_4,"(126.8339367680418, 37.29450827267193)",0203,254,SHUTTLE0003,201.34427198427161,296.3442719842716,254.0,449.0,True,SHUTTLE0003,714.0,-31.344271984271586,
2026-03-03 12:21:28_100_0.3_87,5,2,dynamic_5,"(126.83304298332314, 37.30858212261142)",0349,263,SHUTTLE0005,139.2039673331897,245.2039673331897,263.0,458.0,True,SHUTTLE0005,1020.0,316.79603266681033,1.0
2026-03-03 12:21:28_100_0.3_87,6,2,dynamic_6,"(126.86618328577138, 37.28949669608233)",0312,373,SHUTTLE0006,0.2048299642337656,384.2048299642338,373.0,388.0,True,SHUTTLE0006,673.0,-99.2048299642338,
2026-03-03 12:21:28_100_0.3_87,7,4,dynamic_7,"(126.85033878697108, 37.309142712559726)",0158,393,SHUTTLE0002,76.01923189447061,203.0192318944706,393.0,503.0,True,SHUTTLE0002,1035.0,328.98076810552936,1.0
2026-03-03 12:21:28_100_0.3_87,8,2,dynamic_8,"(126.83219131277428, 37.31225732922401)",0395,457,SHUTTLE0001,131.01451536738972,230.01451536738972,457.0,582.0,True,SHUTTLE0001,747.0,-65.01451536738972,
2026-03-03 12:21:28_100_0.3_87,9,2,dynamic_9,"(126.85655502271298, 37.292745389957034)",0407,465,SHUTTLE0004,101.14943859488143,175.14943859488142,465.0,535.0,True,SHUTTLE0004,735.0,24.850561405118583,1.0
2026-03-03 12:21:28_100_0.3_87,10,3,dynamic_10,"(126.85812017092954, 37.29709556846444)",0274,480,SHUTTLE0004,74.40093022481051,281.1020530350477,480.0,590.0,True,SHUTTLE0004,820.0,-51.102053035047675,
2026-03-03 12:21:28_100_0.3_87,11,2,dynamic_11,"(126.84080529785155, 37.31926007507987)",0213,555,SHUTTLE0005,134.3518484568881,69.3518484568881,555.0,710.0,True,SHUTTLE0005,805.0,25.648151543111894,
2026-03-03 12:21:28_100_0.3_87,12,3,dynamic_12,"(126.86446814173443, 37.28692385065394)",0456,590,SHUTTLE0002,241.22285576576087,356.22285576576087,590.0,775.0,True,SHUTTLE0002,980.0,-151.22285576576087,
2026-03-03 12:21:28_100_0.3_87,13,3,dynamic_13,"(126.8386000769676, 37.2966670149822)",0203,772,SHUTTLE0001,92.14938125996224,247.14938125996224,772.0,837.0,True,SHUTTLE0001,1082.0,-2.14938125996224,
2026-03-03 12:21:28_100_0.3_87,14,4,dynamic_14,"(126.85273561826158, 37.28488778935256)",0114,990,SHUTTLE0004,321.1156366857991,316.11563668579913,990.0,1165.0,True,SHUTTLE0004,1376.0,-105.11563668579913,
2026-03-03 12:21:28_100_0.3_87,15,4,dynamic_15,"(126.84001714266871, 37.29590028472918)",0221,1341,SHUTTLE0004,28.14300933651437,219.14300933651435,1341.0,1401.0,True,SHUTTLE0004,1975.0,354.85699066348565,1.0
2026-03-03 12:21:28_100_0.3_87,16,2,dynamic_16,"(126.84655320242898, 37.31531172380978)",0203,1349,SHUTTLE0001,45.275981243749875,45.27598124374987,1349.0,1434.0,True,SHUTTLE0001,1519.0,39.72401875625013,
2026-03-03 12:21:28_100_0.3_87,17,1,dynamic_17,"(126.8351539884716, 37.29677579144293)",0203,1500,SHUTTLE0002,51.237898274361925,255.23789827436192,1500.0,1545.0,True,SHUTTLE0002,,,5.0
2026-03-03 12:21:28_100_0.3_87,18,1,dynamic_18,"(126.8351539884716, 37.29677579144293)",0203,1500,SHUTTLE0002,51.713694823085774,255.23789827436192,1500.0,1720.0,True,SHUTTLE0002,,,4.0
2026-03-03 12:21:28_100_0.3_87,19,1,dynamic_19,"(126.8351539884716, 37.29677579144293)",0203,1500,SHUTTLE0004,108.23789827436192,255.23789827436192,1500.0,1585.0,True,SHUTTLE0004,1820.0,-20.237898274361925,
2026-03-03 12:21:28_100_0.3_87,20,1,dynamic_20,"(126.8351539884716, 37.29677579144293)",0203,1500,SHUTTLE0002,51.713694823085774,255.71369482308577,1500.0,1580.0,True,SHUTTLE0002,,,3.0
2026-03-03 12:21:28_100_0.3_87,21,1,dynamic_21,"(126.8351539884716, 37.29677579144293)",0203,1500,SHUTTLE0002,52.18949137180962,255.71369482308577,1500.0,1615.0,True,SHUTTLE0002,,,2.0
2026-03-03 12:21:28_100_0.3_87,22,1,dynamic_22,"(126.8351539884716, 37.29677579144293)",0203,1500,SHUTTLE0006,204.23789827436192,255.23789827436192,1500.0,1655.0,True,SHUTTLE0006,1890.0,-20.237898274361925,
2026-03-03 12:21:28_100_0.3_87,23,1,dynamic_23,"(126.8351539884716, 37.29677579144293)",0203,1500,SHUTTLE0002,52.66528792053347,255.71369482308577,1500.0,1650.0,True,SHUTTLE0002,,,1.0
2026-03-03 12:21:28_100_0.3_87,24,1,dynamic_24,"(126.8351539884716, 37.29677579144293)",0203,1500,SHUTTLE0005,242.23789827436192,255.23789827436192,1500.0,1655.0,True,SHUTTLE0005,1890.0,-20.237898274361925,
2026-03-03 12:21:28_100_0.3_87,25,1,dynamic_25,"(126.8351539884716, 37.29677579144293)",0203,1500,SHUTTLE0002,53.14108446925732,255.71369482308577,1500.0,1685.0,True,SHUTTLE0002,1955.0,14.286305176914226,
2026-03-03 12:21:28_100_0.3_87,26,1,dynamic_26,"(126.8351539884716, 37.29677579144293)",0203,1500,SHUTTLE0003,255.23789827436192,255.23789827436192,1500.0,1735.0,True,SHUTTLE0003,2465.0,474.7621017256381,2.0
2026-03-03 12:21:28_100_0.3_87,27,4,dynamic_27,"(126.84191873665597, 37.297141367653175)",0296,1546,SHUTTLE0001,296.12883593120455,316.12883593120455,1546.0,1819.0,True,SHUTTLE0001,2099.0,-36.12883593120455,1.0
2026-03-03 12:21:28_100_0.3_87,28,3,dynamic_28,"(126.8370821946008, 37.2992838731556)",0349,1634,SHUTTLE0001,284.46313321877227,550.2054613563632,1634.0,1904.0,True,SHUTTLE0001,,,1.0
2026-03-03 12:21:28_100_0.3_87,29,4,dynamic_29,"(126.8355398289743, 37.29355827264944)",0041,1884,,,,,,False,,,,
2026-03-03 12:21:28_100_0.3_87,30,2,dynamic_30,"(126.84442463682298, 37.31810169991442)",0203,1923,SHUTTLE0003,61.29056095448573,58.29056095448573,1923.0,2028.0,True,SHUTTLE0003,2113.0,26.709439045514273,
2026-03-03 12:21:28_100_0.3_87,31,4,dynamic_31,"(126.83404275904316, 37.297664460476625)",0069,1971,SHUTTLE0005,276.34118547784766,295.34118547784766,1971.0,2216.0,True,SHUTTLE0005,2441.0,-70.34118547784766,
