scenario_info,currenttime,shuttle_id,shuttle_state,cur_dst,cur_node,cur_path,cur_psgr,cur_psgr_num
2026-03-03 13:15:37_100_0.3_1,255.0,SHUTTLE0002,MOVE,"[('0421', 'DROPPING', 1, False, -2)]",0155,"['0155', '0333', '0166', '0053', '0080', '0237', '0019', '0196', '0158', 'dynamic_1', '0158', '0173', '0160', '0162', '0389', '0244', '0319', '0267', '0223', '0300', '0421']",[],0
2026-03-03 13:15:37_100_0.3_1,265.0,SHUTTLE0002,MOVE,"[('0421', 'DROPPING', 1, False, -2)]",0333,"['0333', '0166', '0053', '0080', '0237', '0019', '0196', '0158', 'dynamic_1', '0158', '0173', '0160', '0162', '0389', '0244', '0319', '0267', '0223', '0300', '0421']",[],0
2026-03-03 13:15:37_100_0.3_1,275.0,SHUTTLE0002,MOVE,"[('0421', 'DROPPING', 1, False, -2)]",0166,"['0166', '0053', '0080', '0237', '0019', '0196', '0158', 'dynamic_1', '0158', '0173', '0160', '0162', '0389', '0244', '0319', '0267', '0223', '0300', '0421']",[],0
2026-03-03 13:15:37_100_0.3_1,285.0,SHUTTLE0002,MOVE,"[('0421', 'DROPPING', 1, False, -2)]",0053,"['0053', '0080', '0237', '0019', '0196', '0158', 'dynamic_1', '0158', '0173', '0160', '0162', '0389', '0244', '0319', '0267', '0223', '0300', '0421']",[],0
2026-03-03 13:15:37_100_0.3_1,295.0,SHUTTLE0002,MOVE,"[('0421', 'DROPPING', 1, False, -2)]",0080,"['0080', '0237', '0019', '0196', '0158', 'dynamic_1', '0158', '0173', '0160', '0162', '0389', '0244', '0319', '0267', '0223', '0300', '0421']",[],0
2026-03-03 13:15:37_100_0.3_1,305.0,SHUTTLE0002,MOVE,"[('0421', 'DROPPING', 1, False, -2)]",0237,"['0237', '0019', '0196', '0158', 'dynamic_1', '0158', '0173', '0160', '0162', '0389', '0244', '0319', '0267', '0223', '0300', '0421']",[],0
2026-03-03 13:15:37_100_0.3_1,315.0,SHUTTLE0002,MOVE,"[('0421', 'DROPPING', 1, False, -2)]",0019,"['0019', '0196', '0158', 'dynamic_1', '0158', '0173', '0160', '0162', '0389', '0244', '0319', '0267', '0223', '0300', '0421']",[],0
2026-03-03 13:15:37_100_0.3_1,325.0,SHUTTLE0002,MOVE,"[('0421', 'DROPPING', 1, False, -2)]",0196,"['0196', '0158', 'dynamic_1', '0158', '0173', '0160', '0162', '0389', '0244', '0319', '0267', '0223', '0300', '0421']",[],0
2026-03-03 13:15:37_100_0.3_1,335.0,SHUTTLE0002,MOVE,"[('0421', 'DROPPING', 1, False, -2)]",0158,"['0158', 'dynamic_1', '0158', '0173', '0160', '0162', '0389', '0244', '0319', '0267', '0223', '0300', '0421']",[],0
2026-03-03 13:15:37_100_0.3_1,345.0,SHUTTLE0002,MOVE,"[('0421', 'DROPPING', 1, False, -2)]",dynamic_1,"['dynamic_1', '0158', '0173', '0160', '0162', '0389', '0244', '0319', '0267', '0223', '0300', '0421']",[],0
2026-03-03 13:15:37_100_0.3_1,345.0,SHUTTLE0004,MOVE,"[('0244', 'DROPPING', 2, False, -4)]",0255,"['0255', '0153', '0349', 'dynamic_2', '0349', '0153', '0255', '0356', '0404', '0339', '0118', '0320', '0474', '0061', '0361', '0392', '0108', '0044', '0252', '0234', '0210', '0319', '0244']",[],0
2026-03-03 13:15:37_100_0.3_1,355.0,SHUTTLE0004,MOVE,"[('0244', 'DROPPING', 2, False, -4)]",0153,"['0153', '0349', 'dynamic_2', '0349', '0153', '0255', '0356', '0404', '0339', '0118', '0320', '0474', '0061', '0361', '0392', '0108', '0044', '0252', '0234', '0210', '0319', '0244']",[],0
2026-03-03 13:15:37_100_0.3_1,359.0,SHUTTLE0001,MOVE,"[('0284', 'DROPPING', 3, False, -2)]",0101,"['0101', '0443', '0110', '0414', '0154', '0217', '0203', 'dynamic_3', '0203', '0217', '0433', '0432', '0401', '0291', '0010', '0092', '0302', '0324', '0226', '0204', '0361', '0293', '0147', '0169', '0408', '0364', '0080', '0237', '0050', '0395', '0284']",[],0
2026-03-03 13:15:37_100_0.3_1,360.0,SHUTTLE0002,MOVE,"[('0421', 'DROPPING', 1, False, -2)]",dynamic_1,"['dynamic_1', '0158', '0173', '0160', '0162', '0389', '0244', '0319', '0267', '0223', '0300', '0421']",[1],2
2026-03-03 13:15:37_100_0.3_1,365.0,SHUTTLE0004,MOVE,"[('0244', 'DROPPING', 2, False, -4)]",0349,"['0349', 'dynamic_2', '0349', '0153', '0255', '0356', '0404', '0339', '0118', '0320', '0474', '0061', '0361', '0392', '0108', '0044', '0252', '0234', '0210', '0319', '0244']",[],0
2026-03-03 13:15:37_100_0.3_1,369.0,SHUTTLE0001,MOVE,"[('0284', 'DROPPING', 3, False, -2)]",0443,"['0443', '0110', '0414', '0154', '0217', '0203', 'dynamic_3', '0203', '0217', '0433', '0432', '0401', '0291', '0010', '0092', '0302', '0324', '0226', '0204', '0361', '0293', '0147', '0169', '0408', '0364', '0080', '0237', '0050', '0395', '0284']",[],0
2026-03-03 13:15:37_100_0.3_1,370.0,SHUTTLE0002,MOVE,"[('0421', 'DROPPING', 1, False, -2)]",0158,"['0158', '0173', '0160', '0162', '0389', '0244', '0319', '0267', '0223', '0300', '0421']",[1],2
2026-03-03 13:15:37_100_0.3_1,375.0,SHUTTLE0004,MOVE,"[('0244', 'DROPPING', 2, False, -4)]",dynamic_2,"['dynamic_2', '0349', '0153', '0255', '0356', '0404', '0339', '0118', '0320', '0474', '0061', '0361', '0392', '0108', '0044', '0252', '0234', '0210', '0319', '0244']",[],0
2026-03-03 13:15:37_100_0.3_1,379.0,SHUTTLE0001,MOVE,"[('0284', 'DROPPING', 3, False, -2)]",0110,"['0110', '0414', '0154', '0217', '0203', 'dynamic_3', '0203', '0217', '0433', '0432', '0401', '0291', '0010', '0092', '0302', '0324', '0226', '0204', '0361', '0293', '0147', '0169', '0408', '0364', '0080', '0237', '0050', '0395', '0284']",[],0
2026-03-03 13:15:37_100_0.3_1,380.0,SHUTTLE0002,MOVE,"[('0421', 'DROPPING', 1, False, -2)]",0173,"['0173', '0160', '0162', '0389', '0244', '0319', '0267', '0223', '0300', '0421']",[1],2
2026-03-03 13:15:37_100_0.3_1,389.0,SHUTTLE0001,MOVE,"[('0284', 'DROPPING', 3, False, -2)]",0414,"['0414', '0154', '0217', '0203', 'dynamic_3', '0203', '0217', '0433', '0432', '0401', '0291', '0010', '0092', '0302', '0324', '0226', '0204', '0361', '0293', '0147', '0169', '0408', '0364', '0080', '0237', '0050', '0395', '0284']",[],0
2026-03-03 13:15:37_100_0.3_1,390.0,SHUTTLE0002,MOVE,"[('0421', 'DROPPING', 1, False, -2)]",0160,"['0160', '0162', '0389', '0244', '0319', '0267', '0223', '0300', '0421']",[1],2
2026-03-03 13:15:37_100_0.3_1,390.0,SHUTTLE0004,MOVE,"[('0244', 'DROPPING', 2, False, -4)]",dynamic_2,"['dynamic_2', '0349', '0153', '0255', '0356', '0404', '0339', '0118', '0320', '0474', '0061', '0361', '0392', '0108', '0044', '0252', '0234', '0210', '0319', '0244']",[2],4
2026-03-03 13:15:37_100_0.3_1,399.0,SHUTTLE0001,MOVE,"[('0284', 'DROPPING', 3, False, -2)]",0154,"['0154', '0217', '0203', 'dynamic_3', '0203', '0217', '0433', '0432', '0401', '0291', '0010', '0092', '0302', '0324', '0226', '0204', '0361', '0293', '0147', '0169', '0408', '0364', '0080', '0237', '0050', '0395', '0284']",[],0
2026-03-03 13:15:37_100_0.3_1,400.0,SHUTTLE0002,MOVE,"[('0421', 'DROPPING', 1, False, -2)]",0162,"['0162', '0389', '0244', '0319', '0267', '0223', '0300', '0421']",[1],2
2026-03-03 13:15:37_100_0.3_1,400.0,SHUTTLE0004,MOVE,"[('0244', 'DROPPING', 2, False, -4)]",0349,"['0349', '0153', '0255', '0356', '0404', '0339', '0118', '0320', '0474', '0061', '0361', '0392', '0108', '0044', '0252', '0234', '0210', '0319', '0244']",[2],4
2026-03-03 13:15:37_100_0.3_1,409.0,SHUTTLE0001,MOVE,"[('0284', 'DROPPING', 3, False, -2)]",0217,"['0217', '0203', 'dynamic_3', '0203', '0217', '0433', '0432', '0401', '0291', '0010', '0092', '0302', '0324', '0226', '0204', '0361', '0293', '0147', '0169', '0408', '0364', '0080', '0237', '0050', '0395', '0284']",[],0
2026-03-03 13:15:37_100_0.3_1,410.0,SHUTTLE0002,MOVE,"[('0421', 'DROPPING', 1, False, -2)]",0389,"['0389', '0244', '0319', '0267', '0223', '0300', '0421']",[1],2
