scenario_info,currenttime,shuttle_id,shuttle_state,cur_dst,cur_node,cur_path,cur_psgr,cur_psgr_num
2026-03-03 13:02:05_100_0.3_38,27.0,SHUTTLE0002,MOVE,[],0155,"['0155', '0147', '0169', '0408', '0366', 'dynamic_1', '0366', '0407', '0350', '0123', '0403', '0339', '0404', '0356', '0255', '0153', '0349']",[],0
2026-03-03 13:02:05_100_0.3_38,37.0,SHUTTLE0002,MOVE,[],0147,"['0147', '0169', '0408', '0366', 'dynamic_1', '0366', '0407', '0350', '0123', '0403', '0339', '0404', '0356', '0255', '0153', '0349']",[],0
2026-03-03 13:02:05_100_0.3_38,47.0,SHUTTLE0002,MOVE,[],0169,"['0169', '0408', '0366', 'dynamic_1', '0366', '0407', '0350', '0123', '0403', '0339', '0404', '0356', '0255', '0153', '0349']",[],0
2026-03-03 13:02:05_100_0.3_38,57.0,SHUTTLE0002,MOVE,[],0408,"['0408', '0366', 'dynamic_1', '0366', '0407', '0350', '0123', '0403', '0339', '0404', '0356', '0255', '0153', '0349']",[],0
2026-03-03 13:02:05_100_0.3_38,67.0,SHUTTLE0002,MOVE,[],0366,"['0366', 'dynamic_1', '0366', '0407', '0350', '0123', '0403', '0339', '0404', '0356', '0255', '0153', '0349']",[],0
2026-03-03 13:02:05_100_0.3_38,77.0,SHUTTLE0002,MOVE,[],dynamic_1,"['dynamic_1', '0366', '0407', '0350', '0123', '0403', '0339', '0404', '0356', '0255', '0153', '0349']",[],0
2026-03-03 13:02:05_100_0.3_38,92.0,SHUTTLE0002,MOVE,[],dynamic_1,"['dynamic_1', '0366', '0407', '0350', '0123', '0403', '0339', '0404', '0356', '0255', '0153', '0349']",[1],3
2026-03-03 13:02:05_100_0.3_38,102.0,SHUTTLE0002,MOVE,[],0366,"['0366', '0407', '0350', '0123', '0403', '0339', '0404', '0356', '0255', '0153', '0349']",[1],3
2026-03-03 13:02:05_100_0.3_38,112.0,SHUTTLE0002,MOVE,[],0407,"['0407', '0350', '0123', '0403', '0339', '0404', '0356', '0255', '0153', '0349']",[1],3
2026-03-03 13:02:05_100_0.3_38,122.0,SHUTTLE0002,MOVE,[],0350,"['0350', '0123', '0403', '0339', '0404', '0356', '0255', '0153', '0349']",[1],3
2026-03-03 13:02:05_100_0.3_38,126.0,SHUTTLE0006,MOVE,"[('0168', 'DROPPING', 2, False, -2)]",0355,"['0355', '0067', 'dynamic_2', '0067', '0152', '0057', '0277', '0192', '0106', '0423', '0482', '0197', '0258', '0452', '0090', '0150', '0037', '0102', '0168']",[],0
2026-03-03 13:02:05_100_0.3_38,127.0,SHUTTLE0001,MOVE,"[('0031', 'DROPPING', 3, False, -4)]",0101,"['0101', '0443', '0110', '0414', '0154', '0217', '0203', 'dynamic_3', '0203', '0217', '0433', '0432', '0401', '0291', '0010', '0092', '0302', '0324', '0226', '0204', '0361', '0293', '0147', '0169', '0408', '0364', '0080', '0237', '0019', '0196', '0158', '0173', '0031']",[],0
2026-03-03 13:02:05_100_0.3_38,132.0,SHUTTLE0002,MOVE,[],0123,"['0123', '0403', '0339', '0404', '0356', '0255', '0153', '0349']",[1],3
