scenario_info,passenger_id,psgrNum,dep_node,dep_node_expanded,arr_node,calltime,shuttleid,expectedwaitingtime,expectedarrivaltime,waitstarttime,boardingtime,success,shuttleID,arrivaltime,increased_time,pathChanged
2026-03-03 12:44:20_100_0.3_55,1,2,dynamic_1,"(126.83566531805398, 37.29303418345069)",0366,127,SHUTTLE0002,163.12450217892325,163.12450217892325,127.0,262.0,True,SHUTTLE0002,397.0,-28.12450217892325,
2026-03-03 12:44:20_100_0.3_55,2,3,dynamic_2,"(126.84642874449203, 37.31673713751115)",0034,378,SHUTTLE0001,62.21667162874807,140.21667162874806,378.0,473.0,True,SHUTTLE0001,638.0,24.78332837125194,
2026-03-03 12:44:20_100_0.3_55,3,2,dynamic_3,"(126.82940612206131, 37.310334238790524)",0483,422,SHUTTLE0003,93.17809128899268,390.1780912889927,422.0,527.0,True,SHUTTLE0003,812.0,-105.17809128899268,
2026-03-03 12:44:20_100_0.3_55,4,3,dynamic_4,"(126.83978170516396, 37.29771818171371)",0019,433,SHUTTLE0002,89.37906155613551,22.379061556135508,433.0,528.0,True,SHUTTLE0002,573.0,22.620938443864492,
2026-03-03 12:44:20_100_0.3_55,5,4,dynamic_5,"(126.86031453181188, 37.28478190307289)",0362,566,SHUTTLE0006,100.33767487764166,359.3376748776417,566.0,631.0,True,SHUTTLE0006,886.0,-104.33767487764169,
2026-03-03 12:44:20_100_0.3_55,6,2,dynamic_6,"(126.84205599247561, 37.29733867732186)",0298,663,SHUTTLE0002,71.18015731375372,235.18015731375374,663.0,728.0,True,SHUTTLE0002,1193.0,229.81984268624626,1.0
2026-03-03 12:44:20_100_0.3_55,7,4,dynamic_7,"(126.83267990130975, 37.30874655098518)",0375,823,SHUTTLE0001,4.16047577304506,237.16047577304505,823.0,858.0,True,SHUTTLE0001,1053.0,-42.16047577304505,
2026-03-03 12:44:20_100_0.3_55,8,3,dynamic_8,"(126.83899486358712, 37.301583730811075)",0082,878,SHUTTLE0002,112.17204271695641,138.1720427169564,878.0,993.0,True,SHUTTLE0002,1138.0,6.827957283043588,
2026-03-03 12:44:20_100_0.3_55,9,3,dynamic_9,"(126.84201269642563, 37.29633434475641)",0138,1035,SHUTTLE0006,99.15792287849847,411.1579228784985,1035.0,1100.0,True,SHUTTLE0006,1316.0,-195.15792287849848,
2026-03-03 12:44:20_100_0.3_55,10,2,dynamic_10,"(126.83467208617776, 37.29702089619861)",0196,1090,SHUTTLE0004,187.3035275915105,44.30352759151049,1090.0,1220.0,True,SHUTTLE0004,1385.0,120.69647240848951,1.0
2026-03-03 12:44:20_100_0.3_55,11,3,dynamic_11,"(126.83644337205017, 37.292392394526814)",0019,1155,SHUTTLE0004,152.91415729690874,96.30710211388777,1155.0,1295.0,True,SHUTTLE0004,1410.0,18.692897886112235,
2026-03-03 12:44:20_100_0.3_55,12,3,dynamic_12,"(126.84894664547079, 37.3077869035359)",0109,1239,SHUTTLE0002,121.2847219625063,228.2847219625063,1239.0,1354.0,True,SHUTTLE0002,2135.0,552.7152780374937,3.0
2026-03-03 12:44:20_100_0.3_55,13,4,dynamic_13,"(126.85259553980538, 37.29651946282769)",0293,1261,SHUTTLE0006,259.2634196671005,167.26341966710052,1261.0,1441.0,True,SHUTTLE0006,1576.0,-32.26341966710052,
2026-03-03 12:44:20_100_0.3_55,14,4,dynamic_14,"(126.83766272597747, 37.29993532858535)",0350,1370,SHUTTLE0004,43.056279093767984,40.056279093767984,1370.0,1455.0,True,SHUTTLE0004,1501.0,5.943720906232016,
2026-03-03 12:44:20_100_0.3_55,15,2,dynamic_15,"(126.8460487342209, 37.315916338249885)",0158,1398,SHUTTLE0005,154.10374441361103,220.10374441361103,1398.0,1563.0,True,SHUTTLE0005,1961.0,177.89625558638897,1.0
2026-03-03 12:44:20_100_0.3_55,16,4,dynamic_16,"(126.8413111294037, 37.313981183224186)",0269,1399,SHUTTLE0001,211.16307753131213,341.1630775313121,1399.0,1594.0,True,SHUTTLE0001,2375.0,439.8369224686879,1.0
2026-03-03 12:44:20_100_0.3_55,17,3,dynamic_17,"(126.84678774493506, 37.303356813494965)",0274,1476,SHUTTLE0004,57.138717142969725,173.1387171429697,1476.0,1585.0,True,SHUTTLE0004,1840.0,81.86128285703029,3.0
2026-03-03 12:44:20_100_0.3_55,18,1,dynamic_18,"(126.8351539884716, 37.29677579144293)",0203,1500,SHUTTLE0002,227.23789827436192,255.23789827436192,1500.0,1675.0,True,SHUTTLE0002,2040.0,109.76210172563808,2.0
2026-03-03 12:44:20_100_0.3_55,19,1,dynamic_19,"(126.8351539884716, 37.29677579144293)",0203,1530,SHUTTLE0004,162.51533256030137,359.2378982743619,1530.0,1715.0,True,SHUTTLE0004,,,3.0
2026-03-03 12:44:20_100_0.3_55,20,2,dynamic_20,"(126.85249130231091, 37.29578793334231)",0389,1558,SHUTTLE0003,160.17837234090663,328.17837234090666,1558.0,1659.0,True,SHUTTLE0003,1845.0,-142.17837234090666,
