정류장명,정류장번호,일자,04(승차),04(하차),05(승차),05(하차),06(승차),06(하차),07(승차),07(하차),08(승차),08(하차),09(승차),09(하차),10(승차),10(하차),11(승차),11(하차),12(승차),12(하차),13(승차),13(하차),14(승차),14(하차),15(승차),15(하차),16(승차),16(하차),17(승차),17(하차),18(승차),18(하차),19(승차),19(하차),20(승차),20(하차),21(승차),21(하차),22(승차),22(하차),23(승차),23(하차),00(승차),00(하차),01(승차),01(하차),02(승차),02(하차),03(승차),03(하차),
성안고사거리,17331,2024-05-11(토),0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,4,1,0,0,0,0,1,0,0,2,0,3,1,5,0,1,1,3,0,3,0,0,0,0,0,4,0,1,0,0,0,0,
성안고사거리,17331,2024-05-12(일),0,0,0,0,1,0,0,1,1,1,0,9,0,0,1,6,0,2,0,3,0,3,0,3,2,3,4,4,0,3,0,0,1,3,0,2,0,0,0,1,0,1,0,1,0,0,0,0,
성안고사거리,17331,2024-05-13(월),0,0,0,0,0,2,0,0,1,13,2,2,0,0,0,3,1,1,0,2,0,2,1,0,0,2,0,2,1,3,1,3,0,3,1,2,0,0,0,0,0,4,0,1,1,0,0,0,
성안고사거리,17331,2024-05-14(화),0,0,0,0,0,0,0,0,0,14,1,4,0,2,0,2,1,4,0,0,2,1,2,2,0,0,3,6,2,1,1,3,0,4,0,3,0,3,0,1,1,3,0,0,0,1,0,1,
성안고사거리,17331,2024-05-15(수),0,0,0,0,1,0,0,0,2,0,0,4,1,1,0,1,0,0,0,3,3,1,1,1,0,3,0,1,1,0,0,0,0,1,0,0,0,4,0,0,0,2,0,1,0,0,0,0,
성안고사거리,17331,2024-05-16(목),0,0,0,0,0,0,0,0,1,10,0,2,0,2,0,0,0,3,0,1,0,2,1,0,0,0,1,3,1,6,0,2,2,7,1,3,0,1,0,0,0,1,0,0,0,1,0,0,
성안고사거리,17331,2024-05-17(금),0,0,0,0,0,0,0,2,0,19,1,0,0,2,0,1,0,1,2,3,0,1,3,2,1,1,0,3,0,2,1,0,1,4,2,3,1,1,1,2,0,4,0,1,1,1,0,0,
성안고사거리,17331,2024-05-18(토),0,0,0,0,0,0,0,0,0,3,1,2,1,2,0,3,0,3,1,0,0,4,0,0,1,0,0,0,1,6,0,3,0,1,0,2,0,7,0,3,0,8,0,0,0,0,0,0,
성안고사거리,17331,2024-05-19(일),0,0,0,0,0,0,0,4,0,0,0,4,0,7,1,0,1,2,0,6,0,5,1,4,0,4,1,1,0,2,0,0,0,1,3,1,1,5,0,1,0,2,2,0,0,0,0,0,
성안고사거리,17331,2024-05-20(월),0,0,0,0,0,0,0,0,1,18,0,5,1,3,0,0,0,3,1,0,0,1,2,4,1,0,0,1,1,12,0,7,0,3,1,1,0,1,1,2,0,1,0,2,0,0,0,0,
성안고사거리,17331,2024-05-21(화),0,0,0,0,0,0,0,0,1,16,0,1,1,1,0,1,0,1,1,0,1,6,0,1,2,4,0,4,2,7,0,7,0,4,1,2,0,1,0,1,0,6,0,0,0,1,0,0,
성안고사거리,17331,2024-05-22(수),0,0,0,0,0,0,0,1,0,10,0,3,1,0,0,0,1,5,0,0,0,3,2,4,0,2,1,1,2,6,1,2,0,2,1,2,0,6,0,1,0,0,0,0,0,0,0,0,
성안고사거리,17331,2024-05-23(목),0,0,0,0,0,0,0,2,0,8,0,1,1,2,0,2,1,1,0,2,0,2,1,0,1,0,1,4,4,6,0,4,0,4,1,5,0,1,0,0,0,0,1,2,0,1,0,0,
성안고사거리,17331,2024-05-24(금),0,0,0,0,0,0,0,0,4,12,0,3,1,1,0,0,0,1,0,0,1,2,0,0,2,0,2,2,0,6,0,1,0,6,0,4,0,3,0,0,1,6,0,2,0,1,0,0,
